adoption delay (hours),frequency
0,87847
6,25943
12,28417
18,30895
24,29952
30,18338
36,14439
42,22867
48,24712
54,14701
60,15873
66,21794
72,21978
78,11481
84,17192
90,23103
96,20826
102,12146
108,14176
114,17168
120,22166
126,15175
132,13782
138,24198
144,19265
150,14845
156,13671
162,20587
168,20686
174,13311
180,12249
186,15991
192,13195
198,10953
204,12966
210,15486
216,12456
222,14789
228,13402
234,14671
240,12738
246,10526
252,9047
258,14675
264,13956
270,12399
276,9005
282,12139
288,20408
294,10880
300,12755
306,16909
312,13969
318,14004
324,12708
330,14770
336,13894
342,10795
348,12334
354,12518
360,14813
366,13234
372,7071
378,13492
384,14171
390,10058
396,11672
402,8184
408,11109
414,10874
420,12199
426,12782
432,13688
438,15422
444,11179
450,10311
456,11280
462,10693
468,11889
474,18089
480,10681
486,9538
492,10273
498,13245
504,17633
510,10863
516,13052
522,15693
528,18474
534,14087
540,11652
546,13730
552,16692
558,12955
564,11354
570,14397
576,10157
582,9837
588,11014
594,15776
600,12709
606,12836
612,10753
618,11501
624,13295
630,7959
636,11418
642,14986
648,12604
654,13473
660,13660
666,12354
672,12288
678,10462
684,16334
690,11543
696,15621
702,7323
708,10640
714,16787
720,11109
726,10702
732,10009
738,14341
744,14357
750,12832
756,12825
762,11664
768,17363
774,7799
780,12346
786,11245
792,14984
798,10687
804,11379
810,13620
816,9496
822,10942
828,9003
834,11810
840,12782
846,9878
852,10974
858,11944
864,10530
870,10917
876,12963
882,14994
888,16439
894,11005
900,12146
906,12730
912,13108
918,10743
924,10042
930,14241
936,12653
942,9997
948,8207
954,9761
960,9740
966,9938
972,7169
978,11063
984,13976
990,7874
996,10806
1002,11033
1008,11056
1014,12886
1020,13196
1026,11465
1032,14196
1038,9507
1044,13862
1050,11719
1056,11232
1062,10873
1068,9911
1074,11226
1080,11103
1086,11537
1092,9289
1098,9668
1104,9296
1110,10359
1116,10109
1122,8822
1128,10431
1134,9415
1140,7872
1146,15832
1152,14465
1158,8156
1164,7805
1170,12059
1176,12927
1182,10310
1188,9755
1194,9278
1200,13821
1206,11296
1212,10698
1218,12391
1224,13419
1230,8495
1236,9979
1242,15851
1248,9589
1254,6974
1260,13278
1266,7773
1272,12017
1278,8348
1284,9984
1290,10102
1296,10740
1302,10040
1308,10870
1314,11394
1320,9435
1326,9980
1332,17938
1338,12480
1344,17036
1350,15147
1356,13426
1362,11183
1368,13175
1374,8920
1380,8215
1386,11846
1392,11222
1398,10509
1404,10107
1410,11280
1416,11264
1422,9459
1428,9359
1434,12431
1440,12611
1446,8980
1452,9586
1458,16801
1464,12042
1470,7678
1476,12340
1482,11805
1488,11835
1494,10057
1500,12040
1506,14087
1512,9554
1518,10028
1524,11758
1530,9731
1536,9334
1542,13837
1548,7355
1554,11262
1560,9247
1566,10672
1572,9040
1578,11741
1584,14183
1590,6821
1596,7291
1602,10836
1608,8266
1614,7548
1620,8740
1626,10710
1632,7593
1638,7801
1644,5963
1650,11718
1656,9235
1662,6881
1668,10162
1674,12176
1680,11563
1686,11634
1692,9543
1698,14252
1704,9837
1710,8707
1716,7638
1722,11120
1728,8074
1734,9273
1740,9217
1746,12416
1752,12580
1758,8524
1764,13681
1770,13361
1776,9511
1782,11320
1788,9437
1794,12172
1800,9985
1806,8676
1812,10846
1818,10509
1824,8517
1830,10345
1836,10549
1842,13004
1848,12098
1854,11313
1860,15161
1866,11119
1872,8089
1878,7268
1884,10715
1890,12835
1896,11471
1902,9541
1908,11348
1914,12597
1920,10514
1926,8757
1932,11267
1938,13332
1944,9838
1950,10607
1956,13665
1962,11524
1968,13257
1974,10182
1980,7595
1986,12353
1992,13834
1998,7754
2004,9742
2010,13690
2016,11523
2022,11847
2028,6127
2034,13461
2040,11707
2046,11575
2052,8250
2058,12519
2064,13458
2070,10379
2076,9337
2082,11389
2088,10480
2094,12476
2100,9096
2106,12927
2112,8419
2118,9569
2124,9751
2130,10393
2136,9019
2142,9620
2148,9294
2154,11523
2160,10409
2166,11075
2172,10136
2178,14185
2184,10735
2190,9520
2196,9953
2202,11930
2208,14365
2214,9250
2220,9942
2226,9525
2232,8520
2238,6521
2244,6398
2250,14504
2256,12683
2262,8464
2268,11445
2274,11935
2280,9415
2286,7105
2292,8757
2298,10266
2304,12372
2310,12651
2316,8776
2322,8890
2328,13438
2334,10324
2340,7306
2346,14501
2352,10510
2358,8000
2364,8735
2370,14195
2376,13152
2382,9933
2388,8849
2394,11809
2400,11012
2406,9043
2412,9085
2418,13982
2424,10336
2430,8999
2436,8056
2442,12252
2448,11823
2454,9934
2460,9685
2466,13569
