user id,number of times user adopted from,number of incoming adoption edges (lib-source pairs)
2,6,34
6,32,74
26,39,13
28,4,0
29,12,6
32,14,5
44,0,1
57,360,702
71,25,2
72,6,0
81,5,9
83,0,1
99,2,0
118,1,0
129,13,33
148,3,0
152,139,4
155,0,6
193,4,1
202,1,34
204,1,0
205,401,746
207,16,37
223,130,8
243,8,0
244,90,0
260,39,0
273,0,9
302,22,1
305,30,5
309,0,1
324,117,3
332,15,0
338,3,0
342,1,0
343,120,39
345,0,29
354,12,7
360,218,18
361,14,17
369,19,8141
385,1,0
390,0,1
400,13,0
402,1,0
435,8,6
439,30,750
447,4,311
460,2,0
466,0,1
475,19,3
484,156,678
495,3677,0
518,3,3
546,105,0
552,0,1
585,0,22
627,0,1
650,25320,59227
706,5,0
709,0,6
711,4,97
723,15,5
732,2026,146
748,17,4
751,3,0
758,6,4
765,0,5
769,3,0
771,3,9
772,6,6
779,0,3
781,8,10
793,33,46
816,16,0
822,2,3
842,6,0
844,106,9
846,0,3
853,258,4426
855,12,0
866,1,0
877,631,7
895,3,0
904,2,0
923,0,5
942,0,12
943,0,1
969,15,0
971,23,16
983,95,3
985,159,56
990,6,20
992,24,0
1017,17,61
1019,853,36
1025,16,327
1034,0,3
1041,1,4
1054,1,0
1069,16,0
1075,3,40
1085,472,1
1087,0,4
1094,488,3
1107,27,1
1116,1,2
1127,0,13
1130,1,33
1137,1802,14
1149,6,0
1163,596,6
1166,2,6
1179,1,0
1181,0,2
1198,1,0
1223,1,0
1236,0,2
1244,5,0
1293,4,0
1328,141243,37175
1382,0,43
1392,3,2
1399,0,6
1402,36,1
1427,23,0
1430,0,95
1432,6,0
1442,0,2
1446,4,21
1447,1,17
1463,0,1
1464,1,6
1470,0,1
1477,0,5
1482,554,0
1509,8,1
1511,5,5
1512,8,2
1540,1035,834
1545,108,427
1546,15,204
1547,24,9
1557,60,0
1561,7,1
1590,0,3
1598,9,0
1601,0,11
1624,396,33
1639,9,16
1646,0,3
1648,13,133
1649,0,8
1657,0,3
1662,4,0
1663,15,993
1671,2,0
1676,6,0
1685,11,0
1697,15,2
1706,763,0
1709,4,0
1712,1499,0
1731,4,0
1734,6,8
1754,234,648
1759,2,19
1763,340,770
1769,3,0
1771,0,3
1793,0,4
1805,0,59
1826,8,10
1832,16,1
1843,3,1
1846,1,1
1848,2,4
1856,3,13
1875,29,0
1883,1,0
1886,0,1
1887,1,0
1889,35,0
1894,12,0
1923,4,28
1927,0,1
1928,1,0
1930,3,1
1931,2,0
1957,207,1880
1960,22460,489
1965,12,0
1994,5,16
1999,3,0
2011,5,6
2020,28,0
2023,241,83
2025,15,77
2029,2,0
2041,2,9
2046,138,38
2069,8,2
2071,28,0
2082,142,15
2087,2,0
2089,95,8
2099,3,2
2103,1,11
2104,4,0
2124,57,0
2134,5,0
2141,0,16
2143,8,69
2173,2,0
2189,4,0
2198,45,0
2237,116,2
2244,6,5
2246,11,1
2249,2,0
2252,0,12
