user id,number of times user adopted from,number of incoming adoption edges (lib-source pairs)
2,1,107
15,1435,365
22,43,152
26,35,122
28,2,177
51,327,19
57,571,7802
62,202,1130
72,31,476
74,1575,898
76,180,0
78,136,22
81,34,218
83,896,5
89,0,414
93,48,250
97,2,132
105,130,17
116,237,141
121,34,221
132,768,572
146,240,68
147,484,185
150,25,182
152,71,226
153,7,204
164,1,109
165,358,142
169,0,123
173,121,50
180,33,124
186,299,54
187,318,288
197,370,344
201,157,103
204,0,149
205,102,428
221,412,1022
223,56,100
229,105,182
247,241,245
257,29,117
266,95,182
298,85,252
305,101,69
320,466,135
330,95,151
343,416,155
350,185,323
360,161,265
374,9,149
383,6,110
399,86,189
401,903,188
442,14,103
452,1045,314
456,146,61
459,1218,407
464,86,1220
467,408,2006
471,32,108
484,31,124
485,56,106
494,92,189
507,205,179
508,587,59
515,162,15
526,0,438
541,134,105
544,128,221
546,100,86
548,519,177
553,233,24
558,0,110
606,31,109
638,708,304
650,264,0
660,195,233
669,41,698
725,540,152
726,48,150
732,451,448
747,814,308
756,944,442
757,3,101
763,131,85
764,552,388
778,202,194
802,1,127
808,24,158
811,199,69
821,0,114
840,50,139
845,2,120
853,129,71
858,179,83
869,103,98
876,0,109
877,555,375
887,119,2107
891,106,64
906,46,164
920,8,132
941,0,137
971,124,42
982,511,7086
984,172,590
997,72,112
1038,19,586
1048,248,23
1051,296,290
1064,115,142
1083,416,519
1085,357,246
1094,167,121
1098,144,222
1099,94,167
1137,1835,1249
1151,41,130
1154,794,230
1162,392,260
1163,1256,275
1178,24,128
1180,0,116
1181,4,173
1189,15,136
1190,51,226
1197,1087,399
1211,4,225
1221,2831,216
1280,613,83
1321,16,127
1328,1311,356
1334,8,107
1351,19013,1828
1352,121,204
1404,127,114
1410,186,1455
1434,202,619
1435,294,538
1461,131,104
1472,1,130
1478,0,164
1482,126,162
1500,408,2
1501,136,19
1506,98,117
1518,0,213
1530,712,996
1540,605,413
1542,1777,417
1543,359,54
1545,43,127
1552,123,144
1566,1011,492
1589,106,59
1615,865,221
1622,12614,5897
1640,24,132
1663,105,15
1673,0,288
1674,3,183
1688,638,1810
1696,1020,1124
1702,16,129
1707,253,184
1710,125,80
1712,118,58
1728,7,207
1733,147,4
1739,967,258
1745,14,123
1754,201,822
1756,196,618
1758,67,181
1763,164,139
1785,115,81
1791,24,120
1801,106,15
1839,135,66
1860,371,2569
1887,0,185
1905,20,163
1914,478,71
1921,168,749
1934,3,109
1947,37,215
1960,999,265
1962,108,9
1969,199,100
1995,221,213
2009,169,41
2020,55,380
2023,158,31
2038,8,125
2040,113,52
2042,375,1450
2077,68,113
2082,29,105
2093,8,344
2097,59,100
2098,862,1494
2124,248,264
2131,6,252
2139,0,350
2165,213,105
2199,360,670
2219,116,0
2228,404,0
2229,163,62
2243,1236,326
2259,112,81
2269,3,167
2274,75,294
2276,82,103
2282,176,128
2301,55,128
2377,0,148
2381,188,63
2383,1021,40
2384,120,45
2387,140,21
2459,195,258
2492,646,524
2505,1390,722
2537,91,117
2538,2,105
2552,245,428
2560,140,108
2567,147,311
2575,0,356
2587,81,260
2591,44,104
2625,713,1414
2626,47,132
2627,1455,718
2628,3136,1484
2630,28,160
2645,1370,301
2662,120,472
2671,150,45
2694,225,18
2710,474,12
2746,250,2
2750,125,164
2754,1244,99
2762,1233,1219
2763,42,174
2765,133,85
2795,1816,605
2800,13,179
2806,203,517
2819,438,26
2831,182,35
2855,159,367
2884,91,170
2909,4,149
2913,103,90
2927,816,749
2932,69,514
2933,133,584
2934,20,569
2941,35,408
2942,0,119
2956,515,941
2963,135,0
3007,66,120
3031,7,103
3062,127,37
3172,112,201
3260,168,61
3268,123,0
3300,74,184
3301,68,154
3314,2,125
3329,148,37
3333,166,54
3339,449,236
3356,8,211
3357,34,375
3358,162,629
3359,318,38
3360,2276,1738
3363,64,183
3367,134,87
3368,856,253
3371,1408,1859
3373,1430,305
3374,488,635
3375,18352,6847
3378,172,167
3380,658,695
3384,82,117
3385,30,100
3390,5482,4459
3393,33468,8158
3395,110,448
3397,347,6621
3398,250,5
3399,246,185
3405,7114,1787
3421,244,379
3422,443,308
3450,578,134
3467,71,214
3478,508,54
3503,172,106
3508,230,113
3580,107,289
3581,167,33
3584,125,3
3661,132,146
3691,52,308
3697,105,62
3769,157,65
3772,61,390
3862,970,540
3872,101,140
3925,219,75
3932,102,1
3953,57,169
3958,1682,526
3959,62,282
3961,1136,728
3975,166,44
3992,838,575
3996,880,300
4007,260,247
4011,709,427
4027,6,182
4035,0,118
4043,303,932
4081,22,103
4105,114,7
4108,314,95
4120,15,108
4147,10,105
4150,31,255
4154,151,393
4179,68,9507
4192,18315,5944
4202,184,47
4207,93,182
4214,4,142
4244,150,530
4251,12,110
4269,246,377
4270,859,1451
4273,24,143
4274,205,166
4275,169,99
4278,19,133
4296,0,100
4300,485,3861
4313,227,95
4314,6,216
4321,7499,1135
4322,855,586
4323,678,354
4324,1209,877
4325,8625,1123
4326,196,342
4328,0,128
4330,40,127
4332,194,339
4333,1313,559
4336,841,652
4337,3293,504
4338,1401,479
4339,366,685
4341,0,213
4343,10,355
4345,48,308
4346,137,103
4348,5,158
4349,4771,509
4351,306,153
4353,0,324
4357,98,355
4358,28,358
4359,4281,392
4360,2264,938
4364,451,102
4365,100,42
4368,81,250
4369,250,40
4370,104,513
4371,141,16
4372,1026,597
4373,114,375
4374,153,265
4375,945,1054
4377,155,140
4384,0,425
4388,4,197
4389,134,221
4392,61,135
4394,82,348
4396,352,936
4397,0,140
4400,0,1125
4405,353,407
4406,154,171
4408,115,10
4412,239,296
4413,134,369
4415,464,391
4419,0,1177
4422,364,818
4423,0,183
4426,118,615
4427,0,136
4437,0,308
4441,160,267
4449,130,597
4453,0,115
4459,397,1834
4465,409,376
4467,31,112
4468,0,220
4470,208,53
4471,0,157
4473,48,242
4475,192,0
4479,46,115
4490,62,328
4495,0,137
4496,0,209
4498,626,561
4500,299,929
4501,111,224
4507,95,211
4510,52,303
4529,99,154
4532,1371,1265
4540,0,558
4542,0,170
4548,8,312
4553,0,612
4558,1,520
4570,0,110
4573,15,1644
4580,192,375
4590,0,144
4594,2177,2849
4597,51,159
4600,1249,2866
4601,52,511
4602,256,0
4603,1101,803
4604,206,201
4611,52,142
4613,0,772
4625,157,473
4633,122,232
4634,0,832
4635,125,405
4643,946,1039
4651,2696,2248
4658,0,255
4660,110,268
4666,2,130
4676,0,226
4679,0,418
4683,0,322
4684,468,212
4685,0,229
4688,10,357
4689,0,654
4695,0,358
4696,104,0
4703,314,530
4718,223,80
4724,1,251
4751,317,303
4761,46,127
4766,0,151
4769,28,188
4786,0,120
4799,203,164
4800,423,127
4802,239,360
4816,298,6
4828,116,5
4830,160,85
4834,39,130
4842,33,178
4876,1568,250
4877,98,538
4908,165,150
4910,348,397
4912,226,115
4913,609,317
4915,13,308
4921,113,133
4926,52,117
4932,61,173
4941,442,1167
4947,1285,943
4961,12,328
4972,41,100
4973,136,44
4977,308,499
4994,11,130
5000,164,80
5006,413,323
5010,68,665
5022,77,235
5023,6,117
5025,233,148
5026,51,495
5027,1251,539
5028,176,142
5031,94,192
5035,9,124
5041,266,0
5045,137,54
5046,0,145
5062,138,381
5097,5058,4684
5115,4,216
5126,115,76
5153,138,31
5188,10,160
5257,8,218
5263,53,320
5264,114,47
5288,20,177
5300,64,236
5334,202,35
5408,1489,343
5410,26,217
5413,377,504
5439,15,243
5446,326,139
5451,4226,1510
5466,3,155
5483,54,281
5545,46,165
5566,22,117
5600,158,167
5624,123,25
5627,163,289
5644,26,106
5646,81,255
5660,7,138
5679,205,192
5680,134,271
5692,188,558
5702,513,357
5710,27,103
5759,23525,1612
5766,428,11
5768,0,342
5774,1113,74
5786,140,101
5861,130,219
5892,170,1434
5901,5566,673
5906,24,165
5907,1636,600
5916,75,336
5918,259,78
5924,3630,1958
5950,4,239
5966,23,127
5973,1358,1319
5989,107,34
6001,130,65
6006,168,49
6016,568,413
6023,115,123
6024,4530,1757
6030,197,189
6087,50,265
6126,173,210
6141,558,628
6148,423,98
6153,338,252
6174,1431,457
6194,103,25
6216,122,241
6219,1460,6473
6226,139,149
6227,49,103
6240,149,97
6261,102,188
6263,196,243
6264,458,240
6273,666,235
6276,285,609
6277,943,278
6287,166,48
6289,5883,6288
6290,369,178
6294,1,1070
6296,1096,238
6297,40,136
6305,45,543
6307,81,133
6308,65,172
