number of times user adopted from (outgoing adoption edges),number of users
1,6266
2,4153
3,2574
4,2265
5,1437
6,1521
7,928
8,1083
9,780
10,821
11,520
12,682
13,426
14,515
15,419
16,404
17,311
18,387
19,256
20,355
21,281
22,269
23,205
24,289
25,200
26,216
27,201
28,237
29,158
30,200
31,154
32,172
33,134
34,137
35,121
36,157
37,100
38,111
39,99
40,137
41,87
42,115
43,81
44,99
45,90
46,99
47,82
48,120
49,68
50,104
51,80
52,94
53,53
54,89
55,72
56,71
57,65
58,68
59,57
60,75
61,53
62,65
63,54
64,68
65,50
66,63
67,40
68,53
69,55
70,46
71,38
72,57
73,46
74,30
75,54
76,54
77,35
78,56
79,44
80,36
81,41
82,45
83,35
84,27
85,36
86,40
87,36
88,32
89,30
90,38
91,25
92,32
93,36
94,30
95,27
96,44
97,44
98,20
99,37
100,31
101,27
102,24
103,32
104,25
105,24
106,35
107,22
108,34
109,28
110,30
111,23
112,29
113,32
114,22
115,23
116,23
117,25
118,21
119,22
120,28
121,18
122,17
123,16
124,25
125,18
126,19
127,16
128,17
129,14
130,13
131,15
132,13
133,13
134,21
135,16
136,23
137,11
138,12
139,17
140,18
141,20
142,11
143,14
144,16
145,8
146,11
147,8
148,19
149,13
150,14
151,14
152,14
153,12
154,13
155,9
156,10
157,17
158,17
159,15
160,11
161,16
162,14
163,13
164,18
165,15
166,12
167,11
168,20
169,13
170,16
171,7
172,18
173,13
174,15
175,8
176,13
177,7
178,9
179,9
180,13
181,13
182,15
183,14
184,16
185,11
186,11
187,2
188,15
189,8
190,11
191,10
192,17
193,10
194,9
195,12
196,13
197,8
198,13
199,9
200,7
201,7
202,10
203,10
204,4
205,14
206,3
207,9
208,6
209,8
210,8
211,6
212,6
213,12
214,5
215,7
216,7
217,7
218,6
219,6
220,6
221,9
222,11
223,8
224,5
225,4
226,12
227,9
228,10
229,7
230,9
231,5
232,9
233,11
234,6
235,12
236,5
237,7
238,7
239,7
240,12
241,5
242,3
243,6
244,8
245,5
246,7
247,8
248,7
249,3
250,11
251,7
252,6
253,6
254,4
255,8
256,3
257,7
258,4
259,5
260,10
261,4
262,6
263,6
264,7
265,6
266,3
267,6
268,3
269,4
270,3
271,2
272,10
273,8
274,3
275,7
276,2
277,1
278,3
279,6
280,5
281,4
282,7
283,3
284,2
285,2
286,5
287,4
288,3
289,2
290,6
291,3
292,4
293,7
294,2
295,3
296,5
297,7
298,3
299,8
300,8
301,4
302,4
303,6
304,3
305,9
306,8
307,4
308,8
309,1
310,5
311,4
312,4
313,3
314,5
315,7
316,3
317,4
318,9
319,2
320,6
321,7
322,2
323,3
324,5
325,3
326,4
327,6
328,6
329,2
330,6
331,5
332,1
334,4
335,2
336,3
337,1
338,1
339,1
340,1
341,4
342,4
343,4
344,2
345,1
346,3
347,6
348,3
349,3
350,3
351,3
352,4
353,4
354,3
355,3
356,5
357,5
358,2
359,6
360,5
361,4
362,2
363,1
364,3
365,5
366,4
367,2
368,4
369,4
370,6
371,3
372,4
373,7
374,3
375,6
376,4
377,2
378,3
379,1
380,2
381,1
382,3
383,1
384,1
385,5
386,3
387,6
389,1
390,2
391,3
392,5
393,2
394,4
395,1
396,2
397,1
398,2
400,1
401,2
402,1
403,3
404,5
405,3
406,3
407,4
408,6
409,4
411,2
412,3
413,3
414,2
415,1
416,4
417,2
418,1
419,1
420,3
421,4
422,2
423,4
424,1
425,4
426,2
427,1
428,6
429,2
430,2
431,1
432,6
434,3
435,4
436,4
438,3
440,4
441,4
442,3
443,3
444,2
445,2
446,5
447,5
449,4
450,4
451,2
452,1
454,2
455,3
457,1
458,3
459,3
460,3
463,4
464,1
465,2
466,2
467,6
468,2
469,1
470,5
471,2
472,2
473,2
474,3
475,4
477,2
478,6
479,1
480,2
483,1
484,3
485,3
486,3
487,3
488,1
489,3
491,1
492,2
493,2
494,2
495,2
496,3
499,2
500,4
501,2
502,1
503,1
504,3
505,1
506,4
508,2
511,4
512,1
513,3
514,1
515,3
516,2
517,2
518,3
519,3
520,2
521,3
524,1
525,1
526,5
527,2
528,2
529,3
530,1
531,2
532,2
533,1
534,2
535,2
536,1
537,2
540,2
541,3
543,2
544,1
546,2
548,3
550,1
