number of incoming adoption edges (lib-source adoption pairs),number of users
1,5214
2,3840
3,2712
4,2226
5,1608
6,1602
7,1029
8,1118
9,916
10,831
11,686
12,797
13,555
14,599
15,520
16,519
17,397
18,463
19,333
20,409
21,313
22,320
23,291
24,351
25,261
26,299
27,276
28,248
29,191
30,256
31,186
32,228
33,178
34,197
35,153
36,233
37,117
38,147
39,162
40,163
41,129
42,159
43,121
44,141
45,97
46,127
47,108
48,125
49,118
50,122
51,119
52,131
53,105
54,94
55,111
56,107
57,85
58,81
59,86
60,100
61,84
62,96
63,91
64,91
65,81
66,86
67,73
68,65
69,63
70,65
71,79
72,92
73,50
74,55
75,67
76,59
77,52
78,69
79,69
80,69
81,57
82,50
83,37
84,54
85,52
86,45
87,43
88,41
89,41
90,56
91,44
92,62
93,44
94,37
95,41
96,44
97,41
98,56
99,62
100,33
101,32
102,41
103,37
104,39
105,45
106,33
107,34
108,55
109,42
110,39
111,21
112,24
113,26
114,33
115,21
116,43
117,27
118,25
119,25
120,40
121,31
122,28
123,35
124,19
125,29
126,31
127,37
128,27
129,28
130,35
131,22
132,31
133,18
134,15
135,28
136,21
137,23
138,26
139,34
140,21
141,20
142,22
143,28
144,22
145,14
146,16
147,12
148,18
149,20
150,24
151,16
152,18
153,17
154,22
155,15
156,18
157,19
158,22
159,11
160,23
161,19
162,20
163,17
164,19
165,15
166,17
167,17
168,17
169,18
170,15
171,15
172,14
173,19
174,15
175,15
176,11
177,19
178,17
179,13
180,18
181,10
182,15
183,15
184,15
185,19
186,14
187,10
188,16
189,11
190,15
191,14
192,21
193,12
194,12
195,11
196,12
197,13
198,11
199,11
200,15
201,17
202,16
203,8
204,12
205,10
206,15
207,8
208,10
209,14
210,12
211,9
212,13
213,8
214,13
215,12
216,18
217,10
218,10
219,10
220,9
221,12
222,7
223,10
224,9
225,13
226,8
227,13
228,14
229,11
230,9
231,7
232,11
233,12
234,12
235,10
236,17
237,7
238,8
239,11
240,9
241,9
242,10
243,10
244,7
245,8
246,14
247,12
248,11
249,4
250,6
251,7
252,12
253,7
254,5
255,11
256,13
257,8
258,11
259,5
260,7
261,15
262,6
263,4
264,10
265,11
266,9
267,10
268,7
269,11
270,4
271,5
