number of unique repos user adopted from in (adopt repo),number of users
1,19037
2,6168
3,3065
4,1833
5,1198
6,894
7,664
8,540
9,465
10,356
11,304
12,267
13,208
14,168
15,153
16,139
17,116
18,107
19,103
20,87
21,68
22,72
23,47
24,57
25,46
26,52
27,44
28,35
29,43
30,36
31,46
32,21
33,31
34,27
35,29
36,22
37,31
38,27
39,24
40,17
41,7
42,19
43,20
44,17
45,14
46,14
47,14
48,10
49,9
50,11
51,9
52,7
53,11
54,10
55,12
56,6
57,6
58,8
59,6
60,11
61,6
62,10
63,6
64,7
65,9
66,10
67,7
68,6
69,5
70,5
71,7
72,6
73,6
74,7
75,3
76,3
77,4
78,3
79,5
80,6
81,5
82,4
83,2
84,4
85,5
86,4
87,2
88,1
89,2
90,2
91,2
92,4
93,1
94,1
96,2
97,4
98,3
99,1
100,2
101,2
102,2
104,1
105,2
106,2
107,1
108,3
109,1
110,4
111,3
112,4
113,1
114,3
117,1
118,2
119,1
121,2
122,1
123,1
124,1
125,1
126,3
129,2
130,3
133,1
134,2
135,1
136,3
138,1
140,1
141,2
142,4
143,1
145,2
154,2
156,1
157,1
161,1
162,1
164,1
165,1
166,1
167,1
171,2
174,1
175,1
179,1
181,1
182,1
192,1
198,2
199,2
213,1
215,1
217,1
226,1
228,1
229,1
232,1
233,1
261,1
269,1
270,1
278,1
283,1
290,1
309,1
312,1
313,1
329,1
342,1
367,1
376,1
386,1
387,1
419,1
479,1
491,1
500,1
508,1
581,1
