number of unique repos user promoted in (promoter),number of users
1,21434
2,6361
3,3202
4,1749
5,1025
6,641
7,461
8,349
9,264
10,165
11,140
12,104
13,115
14,98
15,81
16,76
17,60
18,85
19,55
20,82
21,38
22,44
23,31
24,33
25,38
26,32
27,25
28,20
29,25
30,16
31,23
32,17
33,18
34,13
35,14
36,14
37,5
38,11
39,6
40,7
41,9
42,7
43,6
44,7
45,2
46,9
47,16
48,11
49,8
50,7
51,15
52,8
53,4
55,10
56,3
57,6
58,6
59,3
60,1
61,1
62,2
64,1
65,2
66,2
67,1
68,4
70,3
73,1
74,1
77,2
82,1
86,1
90,1
92,1
93,6
112,1
117,1
121,1
124,2
133,1
144,1
152,1
255,1
448,1
509,1
