year-month,number of commits,number of import commits,unique libraries committed (add-del-or-adopt),number of addition commits,number of libraries added,unique libraries added,number of deletion commits,number of libraries deleted,unique libraries deleted,number of adoption commits,number of libraries adopted,unique libraries adopted,unique active users,unique active repos,unique adopting users,unique repos with adoption
1990-08,27,0,0,0,0,0,0,0,0,0,0,0,6,23,0,0
1990-09,48,0,0,0,0,0,0,0,0,0,0,0,4,23,0,0
1990-10,1320,288,34,192,1032,34,96,144,4,0,0,0,4,23,0,0
1990-11,672,48,9,48,192,8,24,24,1,0,0,0,4,23,0,0
1990-12,456,24,14,24,336,14,0,0,0,0,0,0,4,23,0,0
1991-01,744,120,13,120,288,12,24,24,1,0,0,0,4,23,0,0
1991-02,432,72,6,48,48,2,48,144,5,0,0,0,4,23,0,0
1991-03,120,0,0,0,0,0,0,0,0,0,0,0,4,23,0,0
1991-04,1512,168,26,120,528,22,96,120,5,0,0,0,4,23,0,0
1991-05,696,24,2,24,48,2,0,0,0,0,0,0,4,23,0,0
1991-06,1080,24,10,24,240,10,0,0,0,0,0,0,4,23,0,0
1991-07,768,48,4,48,120,4,0,0,0,0,0,0,4,23,0,0
1991-08,936,192,16,168,384,11,72,120,5,0,0,0,4,23,0,0
1991-09,384,96,12,72,312,12,24,24,1,0,0,0,4,23,0,0
1991-10,696,24,11,24,264,11,0,0,0,0,0,0,4,23,0,0
1991-11,1032,120,6,120,192,6,0,0,0,0,0,0,4,23,0,0
1991-12,2280,312,16,264,672,15,72,72,2,0,0,0,4,23,0,0
1992-01,2578,511,38,511,1679,36,196,511,15,0,0,0,4,24,0,0
1992-02,600,72,6,48,144,5,24,24,1,0,0,0,4,23,0,0
1992-03,2401,648,85,624,3024,83,432,864,7,0,0,0,4,24,0,0
1992-04,1585,192,17,192,672,17,24,24,1,0,0,0,4,24,0,0
1992-05,696,144,16,96,504,16,72,120,4,0,0,0,4,23,0,0
1992-06,744,96,5,48,96,4,72,72,2,0,0,0,4,23,0,0
1992-07,264,72,9,72,288,9,0,0,0,0,0,0,4,23,0,0
1992-08,2016,408,37,408,1896,34,96,120,3,0,0,0,12,23,0,0
1992-09,1778,385,27,361,1201,26,48,48,2,0,0,0,8,24,0,0
1992-10,192,48,14,48,384,13,24,24,1,0,0,0,4,23,0,0
1992-11,337,120,11,120,384,11,0,0,0,0,0,0,4,24,0,0
1992-12,1873,552,50,552,2376,48,72,96,4,12,68,15,12,24,8,4
1993-01,669,96,12,96,288,12,0,0,0,4,12,3,13,23,4,4
1993-02,1032,240,26,240,1032,26,0,0,0,16,28,7,12,23,8,4
1993-03,409,49,3,49,73,3,0,0,0,0,0,0,8,24,0,0
1993-04,216,24,7,24,168,7,0,0,0,0,0,0,4,23,0,0
1993-05,528,96,27,96,936,27,0,0,0,0,0,0,8,23,0,0
1993-06,553,192,25,192,648,21,48,96,4,4,4,1,8,24,4,4
1993-07,358,96,7,96,144,6,24,24,1,8,12,3,9,24,4,4
1993-08,72,0,0,0,0,0,0,0,0,0,0,0,4,23,0,0
1993-09,168,0,0,0,0,0,0,0,0,0,0,0,8,23,0,0
1993-10,866,145,16,145,433,16,0,0,0,0,0,0,8,24,0,0
1993-11,912,144,11,144,312,9,48,72,3,4,4,1,8,23,4,4
1993-12,1153,264,28,216,744,22,96,168,7,8,12,3,8,24,4,4
1994-01,1800,288,24,240,864,22,96,96,2,0,0,0,8,23,0,0
1994-02,621,120,17,120,576,17,0,0,0,0,0,0,9,23,0,0
1994-03,288,120,24,120,720,24,24,24,1,0,0,0,4,23,0,0
1994-04,480,48,7,48,192,7,0,0,0,0,0,0,4,23,0,0
1994-05,1437,264,13,264,696,13,0,0,0,0,0,0,5,23,0,0
1994-06,936,216,27,216,912,27,0,0,0,0,0,0,8,23,0,0
1994-07,1104,264,14,264,576,14,0,0,0,0,0,0,7,23,0,0
1994-08,2785,240,27,216,744,18,72,312,13,0,0,0,4,24,0,0
1994-09,1464,168,18,168,552,18,0,0,0,4,4,1,11,23,4,4
1994-10,1797,408,41,408,1512,40,48,48,2,0,0,0,12,23,0,0
1994-11,502,24,1,24,24,1,0,0,0,0,0,0,9,24,0,0
1994-12,744,48,6,48,144,6,0,0,0,0,0,0,15,23,0,0
1995-01,5394,336,71,336,2616,71,0,0,0,4,8,2,9,23,4,4
1995-02,4343,264,31,264,1080,31,24,24,1,0,0,0,13,24,0,0
1995-03,4149,432,44,384,1200,39,120,168,7,0,0,0,16,23,0,0
1995-04,1773,504,67,504,2520,65,120,312,11,8,8,2,13,23,8,4
1995-05,384,24,1,24,24,1,0,0,0,4,4,1,15,23,4,4
1995-06,1872,408,25,408,960,23,72,72,3,7,10,3,15,23,7,4
1995-07,2112,240,34,240,1248,31,48,72,3,20,44,10,15,23,8,4
1995-08,4150,672,69,648,2760,57,144,432,17,16,28,7,13,24,4,4
1995-09,1968,192,13,192,432,13,0,0,0,0,0,0,15,23,0,0
1995-10,2493,216,13,192,360,10,72,96,3,4,4,1,16,23,4,4
1995-11,1056,216,20,216,1128,20,0,0,0,0,0,0,11,23,0,0
1995-12,432,96,19,72,552,18,24,24,1,4,4,1,12,23,4,4
1996-01,1680,144,12,120,288,11,24,24,1,0,0,0,15,23,0,0
1996-02,1248,144,15,120,384,12,48,72,3,4,8,2,12,23,4,4
1996-03,1368,288,31,216,864,29,120,168,5,4,8,2,11,23,4,4
1996-04,1416,360,20,336,1344,19,24,24,1,0,0,0,11,23,0,0
1996-05,2784,312,37,264,840,31,96,192,8,8,16,4,8,23,4,4
1996-06,1994,242,19,218,352,16,24,72,3,0,0,0,5,25,0,0
1996-07,4182,587,77,537,2443,74,174,250,12,0,0,0,17,26,0,0
1996-08,6538,412,39,388,1180,29,72,360,15,0,0,0,13,25,0,0
1996-09,3893,579,65,531,2305,63,144,144,4,5,11,8,16,26,5,5
1996-10,3990,149,18,125,349,18,24,24,1,2,4,2,18,26,2,2
1996-11,1527,122,11,122,206,11,0,0,0,4,6,4,17,26,4,4
1996-12,6664,1010,54,962,2142,47,74,290,13,45,88,21,21,25,11,4
1997-01,5595,674,53,626,2192,51,72,144,5,37,47,14,22,26,11,5
1997-02,1924,112,22,16,26,12,100,248,11,4,4,2,15,25,2,2
1997-03,1770,134,22,106,190,13,52,150,9,2,2,2,15,25,1,1
1997-04,4134,524,59,470,1534,55,132,238,16,20,37,12,18,25,10,6
1997-05,6616,744,36,696,1968,35,144,312,10,4,4,1,18,25,4,4
1997-06,2046,124,20,124,368,18,24,48,2,8,8,2,21,25,8,4
1997-07,3916,375,68,326,778,65,49,97,4,7,11,8,16,26,2,2
1997-08,7241,664,126,518,1810,110,206,738,29,11,17,13,20,25,5,4
1997-09,4119,638,224,466,1474,96,212,3958,157,14,19,12,19,26,6,4
1997-10,4403,546,47,352,976,41,338,554,11,6,6,2,19,25,6,6
1997-11,3821,326,77,290,716,67,64,152,26,8,13,10,15,25,7,5
1997-12,8181,559,101,383,962,75,260,712,46,7,9,7,22,28,6,6
1998-01,4343,257,106,253,718,93,40,100,26,9,17,9,24,33,7,6
1998-02,8250,523,83,497,1410,78,54,80,7,16,26,16,25,34,11,8
1998-03,7396,630,96,476,1203,64,231,1297,51,9,11,10,26,33,4,3
1998-04,11361,969,256,722,2232,236,408,1130,51,26,73,33,30,34,9,8
1998-05,7076,622,120,507,1240,87,217,1068,51,12,20,20,29,34,4,2
1998-06,4015,512,126,456,1542,96,160,816,69,13,26,14,22,32,10,5
1998-07,5302,545,73,481,1565,68,221,393,21,8,13,9,34,36,5,3
1998-08,6676,525,170,447,3774,156,120,340,21,23,66,22,31,35,18,7
1998-09,3018,378,122,346,734,87,140,320,41,8,8,4,28,37,5,5
1998-10,7426,1374,140,1218,3276,128,342,438,24,20,45,31,32,35,7,5
1998-11,3018,338,119,276,816,92,80,250,37,10,14,10,33,36,7,7
1998-12,5123,736,217,602,1371,177,156,402,56,14,24,17,37,37,9,8
1999-01,8224,789,253,666,4736,225,181,2564,116,35,320,110,44,37,15,7
1999-02,6941,497,195,423,1355,183,106,152,20,13,16,9,38,37,9,7
1999-03,5316,788,182,700,2519,166,136,199,50,34,70,36,46,39,26,7
1999-04,8193,583,209,445,1289,166,215,511,86,34,50,29,43,42,20,8
1999-05,3071,600,123,301,645,106,343,628,34,19,39,22,42,43,10,6
1999-06,5699,722,201,558,1842,177,262,480,48,32,56,46,40,38,13,9
1999-07,3195,349,257,303,1022,237,72,556,176,26,154,137,48,42,18,8
1999-08,5156,710,157,646,1690,144,132,240,52,14,17,14,51,49,8,7
1999-09,5929,823,186,756,1985,177,146,191,23,33,41,32,59,51,16,9
1999-10,2883,328,101,295,631,91,127,216,26,13,18,13,60,49,9,7
1999-11,2855,524,149,407,1099,119,285,841,65,10,22,21,51,48,4,4
1999-12,4558,506,183,486,1540,175,56,134,40,13,29,16,73,66,8,8
2000-01,2245,298,140,231,1026,124,79,165,29,9,40,22,68,63,8,7
