delay(hours),freq
0,13423876
0.5,7483927
1.0,1137166
1.5,587641
2.0,387337
2.5,279395
3.0,211628
3.5,168981
4.0,137954
4.5,115755
5.0,97734
5.5,83765
6.0,72911
6.5,63167
7.0,56806
7.5,49792
8.0,46284
8.5,43701
9.0,42884
9.5,43306
10.0,43455
10.5,43524
11.0,43627
11.5,43269
12.0,44212
12.5,41956
13.0,41304
13.5,39891
14.0,39267
14.5,39186
15.0,39501
15.5,41130
16.0,43490
16.5,46273
17.0,49074
17.5,51508
18.0,51344
18.5,50928
19.0,51093
19.5,50792
20.0,51082
20.5,50769
21.0,50915
21.5,51818
22.0,53907
22.5,55187
23.0,57584
23.5,61318
24.0,80059
24.5,64642
25.0,46685
25.5,38542
26.0,33102
26.5,28936
27.0,25117
27.5,23060
28.0,20710
28.5,18634
29.0,16854
29.5,15550
30.0,14110
30.5,12894
31.0,11853
31.5,10912
32.0,9898
32.5,9288
33.0,8999
33.5,8674
34.0,8545
34.5,8591
35.0,8558
35.5,8504
36.0,8714
36.5,8573
37.0,8721
37.5,8601
38.0,8537
38.5,8835
39.0,8998
39.5,9241
40.0,9767
40.5,10252
41.0,10896
41.5,11490
42.0,12218
42.5,12500
43.0,12953
43.5,13437
44.0,13888
44.5,14446
45.0,15238
45.5,15630
46.0,16434
46.5,17182
47.0,18163
47.5,19043
48.0,20670
48.5,19031
49.0,16498
49.5,14468
50.0,12696
50.5,11444
51.0,10302
51.5,9523
52.0,8834
52.5,8169
53.0,7636
53.5,7239
54.0,6469
54.5,6044
55.0,5606
55.5,5123
56.0,4780
56.5,4576
57.0,4457
57.5,4231
58.0,4181
58.5,4326
59.0,4274
59.5,4294
60.0,4464
60.5,4426
61.0,4485
61.5,4491
62.0,4519
62.5,4712
63.0,4940
63.5,5277
64.0,6013
64.5,6619
65.0,7386
65.5,7928
66.0,8319
66.5,8869
67.0,9209
67.5,9380
68.0,9620
68.5,10029
69.0,10267
69.5,10560
70.0,11114
70.5,11384
71.0,12063
71.5,12782
72.0,13671
72.5,12904
73.0,11253
73.5,9739
74.0,8655
74.5,7940
75.0,7117
75.5,6564
76.0,6069
76.5,5648
77.0,5210
77.5,4802
78.0,4492
78.5,4086
79.0,3697
79.5,3479
80.0,3268
80.5,3040
81.0,2912
81.5,2786
82.0,2743
82.5,2660
83.0,2710
83.5,2805
84.0,2782
84.5,2859
85.0,2922
85.5,2883
86.0,2918
86.5,3072
87.0,3107
87.5,3305
88.0,3616
88.5,4010
89.0,4386
89.5,4807
90.0,5118
90.5,5311
91.0,5601
91.5,5864
92.0,6121
92.5,6370
93.0,6690
93.5,6865
94.0,7243
94.5,7469
95.0,8134
95.5,8517
96.0,9095
96.5,8712
97.0,7557
97.5,6897
98.0,6211
98.5,5492
99.0,5052
99.5,4665
100.0,4373
100.5,4114
101.0,3817
101.5,3364
102.0,3323
102.5,2933
103.0,2682
103.5,2456
104.0,2405
104.5,2130
105.0,1989
105.5,2009
106.0,1929
106.5,2069
107.0,1922
107.5,1967
108.0,2024
108.5,2072
109.0,2063
109.5,2044
110.0,2091
110.5,2132
111.0,2267
111.5,2389
112.0,2681
112.5,2721
113.0,3075
113.5,3347
114.0,3635
114.5,3813
115.0,3977
115.5,4240
116.0,4413
116.5,4598
117.0,4841
117.5,5034
118.0,5309
118.5,5610
119.0,6090
119.5,6369
120.0,6851
120.5,6543
121.0,5786
121.5,5116
122.0,4650
122.5,4115
123.0,3786
123.5,3611
124.0,3287
124.5,3136
125.0,2877
125.5,2664
126.0,2565
126.5,2316
127.0,2061
127.5,1968
128.0,1856
128.5,1673
129.0,1611
129.5,1508
130.0,1558
130.5,1497
131.0,1535
131.5,1544
132.0,1558
132.5,1574
133.0,1525
133.5,1611
134.0,1637
134.5,1698
135.0,1801
135.5,1824
136.0,1952
136.5,2195
137.0,2348
137.5,2564
138.0,2776
138.5,3079
139.0,3255
139.5,3351
140.0,3488
140.5,3641
141.0,3895
141.5,4160
142.0,4366
142.5,4626
143.0,4945
143.5,5322
144.0,5659
144.5,5404
145.0,4752
145.5,4401
146.0,3965
146.5,3629
147.0,3340
147.5,3043
148.0,2846
