delay(hours),freq
0,13423876
1,8621093
2,974978
3,491023
4,306935
5,213489
6,156676
7,119973
8,96076
9,86585
10,86761
11,87151
12,87481
13,83260
14,79158
15,78687
16,84620
17,95347
18,102852
19,102021
20,101874
21,101684
22,105725
23,112771
24,141377
25,111327
26,71644
27,54053
28,43770
29,35488
30,29660
31,24747
32,20810
33,18287
34,17219
35,17149
36,17218
37,17294
38,17138
39,17833
40,19008
41,21148
42,23708
43,25453
44,27325
45,29684
46,32064
47,35345
48,39713
49,35529
50,27164
51,21746
52,18357
53,15805
54,13708
55,11650
56,9903
57,9033
58,8412
59,8600
60,8758
61,8911
62,9010
63,9652
64,11290
65,14005
66,16247
67,18078
68,19000
69,20296
70,21674
71,23447
72,26453
73,24157
74,18394
75,15057
76,12633
77,10858
78,9294
79,7783
80,6747
81,5952
82,5529
83,5370
84,5587
85,5781
86,5801
87,6179
88,6921
89,8396
90,9925
91,10912
92,11985
93,13060
94,14108
95,15603
96,17612
97,16269
98,13108
99,10544
100,9038
101,7931
102,6687
103,5615
104,4861
105,4119
106,3938
107,3991
108,3991
109,4135
110,4135
111,4399
112,5070
113,5796
114,6982
115,7790
116,8653
117,9439
118,10343
119,11700
120,13220
121,12329
122,9766
123,7901
124,6898
125,6013
126,5229
127,4377
128,3824
129,3284
130,3066
131,3032
132,3102
133,3099
134,3248
135,3499
136,3776
137,4543
138,5340
139,6334
140,6839
141,7536
142,8526
143,9571
144,10981
145,10156
146,8366
147,6969
148,5889
149,5098
150,4483
151,3582
152,3018
153,2704
154,2549
155,2462
156,2399
157,2646
158,2559
159,2732
160,2927
161,3691
162,4452
163,5079
164,5768
165,6581
166,7383
167,8493
168,10145
169,9355
170,7113
171,5786
172,4834
173,4039
174,3437
175,3051
176,2508
177,2111
178,1875
179,1850
180,1923
181,1935
182,1886
183,2004
184,2110
185,2533
186,2972
187,3355
188,3741
189,4151
190,4592
191,5352
192,6092
193,5939
194,4798
195,3867
196,3365
197,3002
198,2568
199,2097
200,1833
201,1696
202,1511
203,1431
204,1477
205,1464
206,1482
207,1543
208,1614
209,1883
210,2193
211,2349
212,2698
213,3027
214,3432
215,3795
216,4382
217,4083
218,3462
219,2904
220,2571
221,2240
222,1977
223,1773
224,1479
225,1298
226,1207
227,1237
228,1250
229,1284
230,1230
231,1287
232,1445
233,1656
234,1907
235,2263
236,2407
237,2648
238,2956
239,3406
240,3682
241,3541
242,2985
243,2589
244,2315
245,1929
246,1799
247,1517
248,1343
249,1176
250,1105
251,1077
252,1162
253,1140
254,1140
255,1178
256,1291
257,1471
258,1660
259,1924
260,2199
261,2548
262,2684
263,3081
264,3476
265,3297
266,2777
267,2345
268,2039
269,1790
270,1582
271,1294
272,1264
273,1098
274,1024
275,947
276,974
277,987
278,999
279,1028
280,1144
281,1327
282,1601
283,1829
284,1956
285,2246
286,2438
287,2878
288,3158
289,2984
290,2550
291,2166
292,1895
293,1710
294,1432
295,1252
296,1145
297,994
298,847
299,894
300,936
301,926
302,987
303,1023
304,1075
305,1300
306,1461
307,1705
308,1981
309,2110
310,2352
311,2755
312,3122
313,3062
314,2550
315,2212
316,1924
317,1647
318,1362
319,1234
320,1127
321,882
322,814
323,829
324,852
325,886
326,873
327,968
328,962
329,1213
330,1430
331,1653
332,1835
333,2126
334,2520
335,2808
336,3502
337,3170
338,2536
339,2110
340,1746
341,1622
342,1335
343,1116
344,927
345,820
346,789
347,710
348,684
349,725
350,768
351,738
352,795
353,1001
354,1091
355,1313
356,1438
357,1605
358,1776
359,2062
360,2377
361,2191
362,1790
363,1567
364,1353
365,1175
366,1074
367,888
368,779
369,673
370,644
371,614
372,602
373,652
374,569
375,614
376,671
377,743
378,916
379,1003
380,1104
381,1284
382,1397
383,1619
384,1820
385,1708
386,1405
387,1321
388,1106
389,997
390,864
391,776
392,636
393,640
394,551
395,568
396,564
397,575
398,542
399,559
400,636
401,698
402,844
403,954
404,1126
405,1113
406,1266
407,1507
408,1675
409,1592
410,1329
411,1137
412,1044
413,950
414,813
415,684
416,657
417,579
418,458
419,489
420,502
421,508
422,471
423,557
424,604
425,707
426,783
427,883
428,1049
429,1072
430,1255
431,1397
432,1539
433,1549
434,1303
435,1135
436,986
437,846
438,744
439,660
440,574
441,543
442,452
443,488
444,499
445,468
446,497
447,490
448,497
449,657
450,736
451,888
452,968
453,1155
454,1167
455,1305
456,1514
457,1506
458,1293
459,1124
460,921
461,851
462,706
463,672
464,581
465,497
466,444
467,478
468,493
469,491
470,505
471,473
472,530
473,636
474,764
475,897
476,1028
477,1081
478,1201
479,1399
480,1582
481,1502
482,1344
483,1112
484,1035
485,803
486,847
487,581
488,516
489,477
490,417
491,449
492,449
493,438
494,444
495,485
496,559
497,640
498,769
499,921
500,1028
501,1087
502,1312
503,1491
504,1778
505,1669
506,1335
507,1203
508,932
509,791
510,728
511,591
512,541
513,452
514,404
515,414
516,407
517,422
518,424
519,436
520,461
521,558
522,627
523,709
524,779
525,795
526,970
527,1097
528,1302
529,1191
530,1015
531,870
532,773
533,677
534,594
535,547
536,464
537,406
538,376
539,370
540,341
541,345
542,377
543,370
544,388
545,460
546,515
547,547
548,667
549,691
550,773
551,918
552,1054
553,999
554,867
555,779
556,644
557,535
558,537
559,431
560,416
561,379
562,297
563,329
564,337
565,339
566,350
567,360
568,352
569,427
570,504
571,520
572,649
573,709
574,708
575,810
576,950
577,941
578,736
579,666
580,616
581,520
582,474
583,450
584,364
585,333
586,316
587,319
588,297
589,324
590,322
591,342
592,368
593,398
594,466
595,506
596,536
597,634
598,724
599,873
600,907
601,891
602,797
603,668
604,583
605,513
606,479
607,400
608,368
609,326
610,300
611,301
612,248
613,286
614,278
615,307
616,348
617,418
618,430
619,478
620,630
621,612
622,668
623,805
624,902
625,905
626,745
627,686
628,557
629,528
630,432
631,441
632,348
633,335
634,293
635,288
636,313
637,310
638,297
639,341
640,350
641,393
642,454
643,514
644,610
645,705
646,728
647,870
648,1013
649,1030
650,833
651,714
652,640
653,567
654,463
655,464
656,374
657,337
658,295
659,299
660,295
661,263
662,288
663,291
664,335
665,409
666,483
667,566
668,624
669,763
670,822
671,996
672,1109
673,1056
674,816
675,681
676,657
677,550
678,479
679,389
680,310
681,289
682,305
683,263
684,294
685,269
686,248
687,281
688,275
689,352
690,380
691,414
692,520
693,565
694,638
695,780
696,845
697,793
698,645
699,597
700,546
701,443
702,408
703,336
704,281
705,273
706,216
707,235
708,216
709,247
710,259
711,236
712,264
713,309
714,365
715,421
716,449
717,440
718,518
719,577
720,703
721,674
722,551
723,513
724,434
725,379
726,332
727,303
728,288
729,236
730,244
731,225
732,201
733,223
734,229
735,239
736,269
737,293
738,316
739,376
740,394
741,445
742,513
743,549
744,625
745,626
746,572
747,496
748,449
749,337
750,331
751,305
752,249
753,237
754,200
755,217
756,196
757,214
758,249
759,246
760,234
761,228
762,300
763,354
764,379
765,448
766,517
767,582
768,590
769,605
770,570
771,453
772,378
773,377
774,346
775,273
776,234
777,234
778,186
779,192
780,210
781,195
782,220
783,225
784,215
785,292
786,298
787,341
788,394
789,457
790,482
791,524
792,630
793,613
794,538
795,470
796,438
797,360
798,280
799,289
800,240
801,207
802,230
803,196
804,212
805,190
806,189
807,218
808,240
809,277
810,325
811,370
812,387
813,465
814,487
815,596
816,644
817,613
818,547
819,461
820,426
821,393
822,364
823,272
824,241
825,209
826,226
827,206
828,186
829,204
830,211
831,225
832,244
833,274
834,340
835,404
836,426
837,487
838,551
839,623
840,778
841,734
842,578
843,515
844,409
845,361
846,332
847,280
848,255
849,201
850,185
851,172
852,177
853,176
854,180
855,175
856,209
857,268
858,271
859,338
860,323
861,386
862,468
863,511
864,581
865,585
866,495
867,393
868,377
869,350
870,276
871,268
872,218
873,184
874,176
875,178
876,155
877,189
878,177
879,172
880,184
881,220
882,267
883,287
884,275
885,348
886,361
887,435
888,466
889,440
890,409
891,364
892,325
893,292
894,230
895,229
896,209
897,175
898,167
899,150
900,181
901,167
902,165
903,167
904,175
905,206
906,224
907,270
908,291
909,318
910,385
911,404
912,455
913,449
914,403
915,335
916,312
917,266
918,262
919,213
920,188
921,194
922,158
923,151
924,165
925,159
926,142
927,175
928,199
929,208
930,236
931,240
932,304
933,292
934,342
935,380
936,440
937,400
938,370
939,352
940,333
941,247
942,263
943,200
944,187
945,178
946,141
947,167
948,146
949,155
950,165
951,134
952,186
953,176
954,249
955,239
956,303
957,291
958,348
959,377
960,465
961,461
962,375
963,333
964,313
965,280
966,233
967,209
968,180
969,144
970,145
971,155
972,162
973,163
974,165
975,139
976,205
977,233
978,211
979,294
980,316
981,348
982,368
983,417
984,477
985,460
986,422
987,341
988,325
989,296
990,227
991,213
992,206
993,189
994,175
995,165
996,148
997,149
998,145
999,156
1000,199
1001,186
1002,264
1003,267
1004,324
1005,308
1006,427
1007,474
1008,542
1009,553
1010,428
1011,380
1012,316
1013,284
1014,267
1015,198
1016,189
1017,173
1018,157
1019,137
1020,143
1021,135
1022,148
1023,140
1024,148
1025,189
1026,180
1027,230
1028,269
1029,292
1030,366
1031,378
1032,423
1033,461
1034,365
1035,326
1036,297
1037,257
1038,220
1039,187
1040,165
1041,165
1042,151
1043,128
1044,165
1045,128
1046,155
1047,144
1048,141
1049,176
1050,179
1051,213
1052,226
1053,262
1054,290
1055,340
1056,355
1057,376
1058,311
1059,255
1060,232
1061,212
1062,220
1063,180
1064,156
1065,152
1066,128
1067,134
1068,135
1069,129
1070,143
1071,132
1072,143
1073,157
1074,196
1075,204
1076,213
1077,239
1078,275
1079,306
1080,334
1081,358
1082,302
1083,268
1084,234
1085,248
1086,176
1087,172
1088,153
1089,117
1090,128
1091,99
1092,122
1093,111
1094,128
1095,111
1096,118
1097,158
1098,182
