libs added,libs deleted,libs adopted
2,0,1
2,0,1
2,0,1
2,0,1
3,0,3
3,0,3
3,0,3
3,0,3
15,0,13
15,0,13
15,0,13
15,0,13
5,0,3
5,0,3
5,0,3
5,0,3
12,0,3
12,0,3
12,0,3
12,0,3
3,0,2
3,0,2
3,0,2
3,0,2
2,0,1
2,0,1
2,0,1
2,0,1
6,0,1
6,0,1
6,0,1
6,0,1
1,0,1
1,0,1
1,0,1
1,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,2
2,0,2
2,0,2
2,0,2
1,0,1
1,0,1
1,0,1
1,0,1
2,0,1
2,0,1
2,0,1
2,0,1
6,0,2
6,0,2
6,0,2
6,0,2
1,0,1
1,0,1
1,0,1
1,0,1
31,0,2
31,0,2
31,0,2
31,0,2
2,2,1
2,2,1
2,2,1
2,2,1
1,1,1
1,1,1
1,1,1
1,1,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
2,0,2
2,0,2
2,0,2
12,0,3
12,0,3
12,0,3
12,0,3
12,0,2
12,0,2
12,0,2
12,0,2
1,0,1
1,0,1
1,0,1
1,0,1
5,0,1
5,0,1
5,0,1
5,0,1
11,0,4
11,0,4
11,0,4
11,0,4
7,0,1
7,0,1
7,0,1
7,0,1
5,0,1
5,0,1
5,0,1
5,0,1
7,0,3
7,0,3
7,0,3
7,0,3
13,0,2
13,0,2
13,0,2
13,0,2
5,0,1
5,0,1
5,0,1
5,0,1
11,0,1
11,0,1
11,0,1
11,0,1
6,0,2
6,0,2
6,0,2
6,0,2
15,0,2
15,0,2
15,0,2
15,0,2
14,0,2
14,0,2
14,0,2
14,0,2
4,0,2
4,0,2
4,0,2
4,0,2
12,0,7
28,0,1
28,0,1
28,0,1
28,0,1
3,0,2
3,0,2
7,0,3
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
3,0,2
3,0,2
3,0,2
3,0,2
4,0,2
4,0,2
4,0,2
4,0,2
3,0,1
3,0,1
3,0,1
2,2,1
2,2,1
2,2,1
2,0,1
2,0,1
2,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
4,0,3
4,0,3
4,0,3
4,0,3
3,0,1
3,0,1
3,0,1
3,0,1
6,0,5
6,0,5
6,0,5
6,0,5
2,0,2
2,0,2
2,0,2
5,0,3
5,0,3
5,0,3
5,0,3
4,0,1
4,0,2
4,0,2
4,0,2
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
4,0,2
4,0,2
4,0,2
1,0,1
1,0,1
1,0,1
2,0,1
2,0,1
2,0,1
1,0,1
1,0,1
1,0,1
1,0,1
3,0,2
3,0,2
3,0,2
3,0,2
3,0,1
3,0,1
3,0,1
3,0,1
2,0,1
2,0,1
2,0,1
2,0,1
3,2,1
3,2,1
2,0,1
2,0,1
1,0,1
7,0,1
20,0,5
20,0,5
20,0,5
20,0,5
3,1,1
3,1,2
2,0,1
2,0,1
2,0,1
2,0,1
1,0,1
1,1,1
1,1,1
1,1,1
1,1,1
2,1,1
2,1,1
2,1,1
2,1,1
2,1,1
7,1,1
7,1,1
7,1,1
7,1,1
6,2,1
6,2,1
6,2,1
6,2,1
1,0,1
1,0,1
1,0,1
1,0,1
2,0,1
15,0,1
15,0,3
23,0,1
23,0,3
1,0,1
1,0,1
3,0,1
2,0,2
2,0,2
2,1,1
6,0,2
1,0,1
3,1,2
30,0,1
30,0,1
6,0,3
3,1,1
1,0,1
1,0,1
3,0,1
8,0,1
8,0,1
2,0,2
3,0,1
3,0,1
6,0,1
6,0,1
3,0,2
5,1,2
5,0,2
5,0,2
14,3,1
14,3,1
14,3,1
14,3,1
2,0,1
2,0,1
1,0,1
8,0,3
12,0,4
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
5,5,2
1,0,1
1,0,1
3,4,2
3,0,2
3,0,2
3,0,2
5,3,1
1,0,1
3,0,2
24,0,3
7,0,3
2,0,1
15,1,1
15,1,6
5,0,2
5,0,2
5,0,1
5,0,2
17,0,3
10,0,1
1,1,1
1,1,1
1,0,1
1,0,1
1,0,1
1,0,1
7,0,1
5,0,1
1,0,1
1,0,1
10,0,1
1,0,1
1,0,1
2,0,1
1,1,1
8,0,3
9,0,1
9,0,1
1,0,1
1,0,1
1,0,1
1,0,1
12,0,10
12,0,10
12,0,9
12,0,10
3,0,1
3,0,1
3,0,1
3,0,1
4,0,1
2,0,1
2,0,1
2,0,1
2,0,1
1,0,1
133,0,4
9,0,7
14,0,3
21,0,2
2,0,1
2,0,1
2,0,1
5,0,1
4,0,2
2,0,1
3,0,3
7,0,4
2,0,1
2,0,1
1,0,1
3,0,1
2,0,2
5,0,1
6,0,2
1,0,1
1,0,1
3,0,1
23,0,6
1,0,1
1,0,1
1,0,1
1,0,1
1,1,1
20,0,3
20,0,3
20,0,3
20,0,3
4,1,3
1,0,1
2,0,1
5,0,2
5,0,2
9,0,1
3,0,2
1,1,1
3,0,1
1,1,1
2,0,1
2,0,1
2,0,1
2,0,1
3,0,1
3,0,1
1,0,1
1,0,1
6,3,4
34,0,2
34,0,2
34,0,2
34,0,2
76,0,8
76,0,8
76,0,8
76,0,8
3,0,3
3,0,3
3,0,3
3,0,3
1,0,1
1,1,1
2,1,1
2,1,1
2,1,1
1,0,1
1,0,1
1,0,1
2,0,1
3,0,2
1,1,1
1,1,1
1,1,1
2,7,1
15,2,7
1,0,1
1,0,1
16,0,5
14,0,5
2,0,2
2,0,2
2,0,2
4,4,2
1,0,1
2,0,1
5,0,3
5,0,3
5,0,3
1,0,1
6,0,4
1,0,1
7,1,1
7,1,2
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
14,0,4
10,1,1
8,0,1
1,0,1
4,0,1
3,0,3
1,1,1
3,0,2
3,0,2
3,0,2
3,0,2
1,0,1
3,0,2
6,0,1
2,0,1
1,0,1
9,0,4
15,0,3
16,0,7
16,0,7
28,0,6
28,0,6
6,0,3
15,0,7
5,0,3
5,0,1
5,0,3
4,1,1
4,1,1
7,0,1
7,0,1
1,0,1
1,0,1
15,0,3
15,0,3
4,0,4
4,0,4
2,0,1
2,0,1
2,0,1
2,0,1
18,0,4
2,0,1
78,0,72
78,0,75
78,0,75
13,0,5
13,0,6
13,0,6
1,0,1
2,0,2
4,0,2
4,0,2
14,2,1
5,0,1
5,0,1
13,1,1
13,1,1
1,1,1
1,1,1
1,1,1
1,1,1
9,0,3
9,0,3
9,0,2
9,0,3
24,0,1
18,3,5
10,0,10
7,0,1
7,0,1
7,0,1
7,0,1
14,5,1
14,5,1
1,0,1
1,0,1
7,0,7
7,0,7
1,1,1
1,1,1
2,0,1
2,0,1
1,0,1
1,0,1
4,0,2
4,0,2
4,0,2
4,0,2
3,0,1
3,0,1
3,0,1
3,0,1
1,0,1
2,0,1
2,1,1
6,0,4
11,0,1
11,0,1
11,0,1
11,0,1
8,0,1
8,0,1
1,0,1
1,0,1
4,1,1
3,0,1
7,0,3
6,0,3
6,0,3
2,0,1
2,0,1
1,0,1
1,0,1
1,0,1
1,0,1
3,0,2
1,0,1
1,0,1
5,0,1
1,1,1
1,1,1
1,1,1
10,0,4
10,0,4
1,1,1
16,24,1
16,24,1
1,0,1
1,0,1
7,0,1
9,0,2
3,0,3
3,0,3
3,0,3
12,0,5
12,0,5
2,0,1
2,0,1
4,0,1
4,0,1
13,0,1
13,0,1
5,0,1
5,0,3
3,0,3
1,1,1
1,1,1
2,1,2
9,0,2
9,0,1
1,0,1
7,0,5
3,0,1
3,0,1
1,0,1
2,1,1
2,0,1
12,0,5
12,6,3
13,0,1
13,0,1
7,0,1
7,0,1
7,0,1
7,0,1
9,0,3
9,0,3
18,0,2
3,0,1
3,0,1
1,0,1
3,0,1
3,0,1
8,0,4
1,0,1
3,1,2
1,0,1
3,0,1
8,0,3
7,7,3
2,0,2
4,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
10,0,1
8,0,5
4,0,2
1,0,1
1,0,1
1,0,1
8,0,1
8,0,3
8,0,2
4,0,2
3,0,2
1,0,1
123,0,118
1,0,1
1,0,1
6,0,1
6,0,1
6,0,1
6,0,1
9,1,2
2,0,2
6,0,1
6,0,1
6,0,1
5,0,1
12,0,2
1,0,1
1,0,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
1,0,1
2,0,1
3,0,1
1,0,1
1,0,1
2,0,1
6,0,1
6,0,1
6,0,1
6,0,1
5,0,2
5,0,1
3,0,3
6,0,1
1,0,1
1,0,1
2,0,1
1,0,1
1,0,1
1,0,1
3,0,1
1,0,1
4,0,1
1,1,1
1,0,1
8,0,1
8,0,1
8,0,1
8,0,1
4,0,4
1,0,1
4,0,3
1,0,1
1,0,1
20,0,1
20,0,1
3,0,3
5,0,2
4,0,2
3,0,2
1,1,1
1,1,1
1,0,1
6,0,1
2,1,1
1,0,1
12,0,9
8,0,1
9,0,1
16,15,1
8,3,1
1,0,1
5,0,5
1,0,1
4,0,1
9,0,1
2,1,1
2,1,1
2,1,1
2,1,1
8,7,1
5,0,1
4,0,1
16,0,8
16,0,8
4,0,1
3,0,1
2,0,2
2,0,2
1,1,1
1,1,1
1,0,1
1,0,1
2,0,2
27,0,16
27,0,16
1,0,1
2,0,1
7,0,4
7,0,4
4,0,1
4,0,1
1,0,1
3,0,2
3,0,2
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
3,0,2
3,0,2
3,0,2
3,0,2
4,0,1
4,0,1
1,0,1
1,0,1
1,1,1
13,0,3
9,0,1
1,0,1
1,0,1
9,0,1
1,0,1
1,0,1
4,0,2
4,0,2
2,0,1
1,0,1
1,0,1
1,0,1
1,0,1
4,0,2
4,0,1
7,0,1
7,0,1
5,0,1
23,0,20
3,0,3
1,21,1
1,0,1
1,0,1
1,0,1
1,0,1
5,3,1
2,0,1
2,0,1
2,0,1
2,0,1
4,0,1
6,0,1
16,0,2
16,0,2
16,0,2
5,0,1
1,0,1
1,0,1
5,0,2
5,0,2
5,0,2
5,0,2
8,0,2
8,0,2
8,0,2
8,0,2
4,1,3
4,1,3
4,1,2
4,1,3
1,0,1
1,0,1
1,0,1
1,0,1
2,0,1
2,0,1
7,0,1
7,0,2
15,0,1
3,0,1
3,0,1
3,0,1
1,0,1
3,3,3
2,0,1
16,0,3
1,0,1
2,0,1
2,0,1
2,0,1
2,0,1
7,1,1
2,0,1
4,0,1
1,1,1
1,1,1
2,0,1
2,0,1
2,0,1
2,0,1
3,0,3
3,0,3
4,0,2
1,0,1
8,1,2
3,0,1
6,1,3
29,4,7
29,4,7
29,4,7
29,4,7
1,0,1
19,0,7
19,0,7
1,0,1
11,0,4
11,0,4
11,0,2
11,0,4
3,0,1
3,0,1
1,0,1
4,0,2
4,0,4
1,0,1
31,9,2
31,9,2
4,0,3
4,0,3
4,0,3
3,0,2
3,0,2
13,0,4
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
9,0,8
9,0,8
9,0,8
11,0,4
5,0,1
1,0,1
2,1,1
4,0,3
3,0,1
8,0,4
18,0,3
18,0,2
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
3,1,2
1,1,1
1,1,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
2,0,2
2,0,2
3,0,3
1,0,1
1,0,1
1,0,1
3,0,2
3,0,2
3,0,2
3,0,2
3,0,2
6,0,4
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
2,0,2
1,0,1
1,0,1
3,0,2
2,0,1
2,0,1
3,0,1
3,0,1
5,0,1
5,0,1
5,0,1
5,0,1
4,0,1
4,0,1
13,0,4
4,1,2
4,1,2
1,0,1
1,0,1
4,0,1
2,0,1
9,0,1
15,0,9
6,4,3
4,4,2
1,0,1
9,0,4
14,14,1
8,0,4
9,0,1
4,1,1
1,0,1
12,0,4
1,0,1
1,0,1
1,0,1
10,0,3
10,0,3
10,0,3
10,0,3
1,0,1
3,0,2
3,0,2
3,0,2
6,0,3
6,0,3
6,0,3
1,0,1
1,0,1
4,0,1
4,0,1
4,0,1
4,0,1
1,0,1
1,0,1
1,0,1
2,0,2
2,0,2
1,0,1
1,0,1
6,0,2
6,0,2
6,0,3
6,0,3
10,0,4
