libs added,libs deleted,libs adopted
29,0,1
4,6,3
1,0,1
6,0,3
12,0,1
5,0,3
8,0,1
2,0,1
1,0,1
4,0,2
5,2,1
18,0,13
8,7,2
2,0,2
37,0,5
3,0,1
2,0,1
1,1,1
1,0,1
1,0,1
7,0,3
8,3,3
4,0,1
5,5,4
5,0,1
549,0,1
22,0,12
2,0,1
8,0,1
8,0,1
1,0,1
4,0,3
1,0,1
1,0,1
3,0,1
4,0,1
4,0,1
3,0,1
2,1,1
61,0,42
9,0,6
1,0,1
5,0,1
7,3,2
1,0,1
6,0,3
25,0,9
6,0,1
5,0,2
3,1,1
20,0,14
13,7,2
1,0,1
1,0,1
20,0,1
11,11,1
1,0,1
2,1,1
3,1,1
6,0,1
2,0,2
24,0,2
28,0,7
1,0,1
8,4,1
2,0,1
2,0,2
4,0,1
6,0,2
1,0,1
36,0,1
16,0,1
133,0,7
33,0,1
1,0,1
2,0,2
7,0,5
1,0,1
3,0,1
15,0,1
6,1,2
8,0,1
1,0,1
2,1,2
22,0,2
1,0,1
5,5,5
14,3,3
2,0,2
1,0,1
1,0,1
5,0,1
8,1,3
14,0,1
2,1,1
1,0,1
5,0,5
2,2,1
1,2,1
6,0,1
4,0,4
491,0,10
4,1,1
2,1,1
1,1,1
1,1,1
37,3,1
139,0,2
2,0,1
1,0,1
1,0,1
12,3,4
2,0,1
2,0,1
19,0,8
1,0,1
4,0,4
4,7,1
1,1,1
1,1,1
4,1,1
7,0,5
3,0,1
3,0,2
1,0,1
1,0,1
1,0,1
3,2,2
18,1,1
1,0,1
54,0,1
6,0,2
3,1,1
7,0,1
8,0,4
6,1,3
1,0,1
1,0,1
40,1,5
1,0,1
3,2,1
2,1,1
1,0,1
3,0,1
2,1,1
19,0,1
3,0,1
5,0,2
9,7,5
5,0,3
1,1,1
28,0,13
3,0,1
19,0,1
3,3,1
13,0,7
1,0,1
9,0,5
4,0,1
7,0,5
7,1,1
2,0,1
2,0,1
5,0,4
9,0,1
3,0,1
1,1,1
10,0,5
2,0,1
7,0,2
1,0,1
1,0,1
14,6,1
7,0,2
5,3,4
9,0,1
5,0,1
2,0,2
14,0,1
6,4,1
1,0,1
14,0,2
1,0,1
5,2,1
4,0,1
1,0,1
5,5,1
2,0,2
2,0,1
19,0,7
5,0,1
1,0,1
4,0,4
1,0,1
13,0,1
3,0,1
18,0,4
1,0,1
1,0,1
1,0,1
29,0,5
1,0,1
159,0,22
9,0,1
10,0,3
28,0,7
3,0,1
3,5,1
1,0,1
13,0,3
1,0,1
1,0,1
2,0,1
1,0,1
1,0,1
2,0,1
2,1,1
3,0,1
3,0,1
4,1,1
3,0,1
6,0,1
11,0,1
1,0,1
1,5,1
2,0,1
20,1,12
6,0,3
2,0,1
2,0,2
1,0,1
5,0,2
18,0,2
1,8,1
1,0,1
86,0,6
3,0,1
6,0,2
1,0,1
15,0,2
1,2,1
4,0,1
37,10,1
1,0,1
3,1,2
6,0,1
1,0,1
3,0,2
56,22,14
16,0,1
1,0,1
5,0,1
1,0,1
1,0,1
2,0,2
1,0,1
1,0,1
1,0,1
2,0,2
2,1,1
57,0,2
3,0,1
5,0,1
2,0,1
5,0,5
9,4,2
14,0,1
4,0,2
5,0,1
2,2,1
18,0,5
8,0,2
4,0,2
2,1,1
8,1,2
2,0,1
3,0,1
1,0,1
10,0,9
1,0,1
1,0,1
11,0,1
1,0,1
2,2,1
6,0,3
36,5,10
7,0,1
10,10,1
13,0,4
2,0,1
21,0,13
1512,0,19
22,0,3
11,0,2
6,0,2
4,0,2
2,0,1
1,0,1
1,0,1
7,0,3
8,0,1
8,0,1
1,0,1
69,0,11
5,0,5
1,0,1
6,0,2
1,1,1
2,0,2
10,1,1
11,0,3
4,0,2
1,0,1
14,0,2
1,0,1
13,0,1
2,0,2
3,2,1
99,0,1
43,0,10
32,0,6
1,1,1
3,3,2
6,0,1
1,0,1
5,0,1
2,0,1
7,0,2
4,1,2
65,0,4
1,12,1
7,0,6
2,1,1
1,1,1
2,3,1
3,0,1
11,0,3
3,0,1
8,1,4
5,0,1
8,0,1
2,0,1
1,0,1
813,0,45
8,0,3
4,0,1
1,0,1
4,0,1
1,0,1
7,0,1
1837,0,19
2,0,2
8,2,2
3,0,3
1,0,1
7,0,6
1,0,1
4,0,1
5,2,3
3,0,1
1,0,1
2,0,1
12,0,1
1,4,1
3,1,1
15,0,2
2,0,1
5,1,1
2,0,1
1,0,1
1,0,1
1,0,1
1,0,1
8,0,2
1,1,1
4,0,3
10,2,2
1,0,1
8,0,3
14,0,1
10,0,8
3,1,1
1,0,1
7,0,4
1,0,1
5,0,2
47,0,30
4,0,1
1,0,1
9,0,7
8,91,7
1,0,1
2,0,1
15,0,5
12,0,2
4,5,3
4,3,2
1,0,1
6,0,1
3,0,1
4,0,1
2,0,2
3,3,1
12,0,2
18,0,1
1,0,1
14,0,4
3,0,2
1,0,1
6,0,1
8,0,2
2,2,1
3,0,3
2,7,2
11,0,1
5,0,4
10,0,1
3,0,2
11,0,1
143,0,17
5,0,4
4,0,1
3,0,2
4,0,4
20,0,5
2,1,1
10,0,8
8,0,1
5,0,1
1,0,1
1,0,1
8,0,1
3,0,3
2,5,1
5,0,1
18,0,3
1,0,1
1,0,1
26,0,7
3,0,1
30,0,2
2,0,1
1,0,1
12,0,5
1,0,1
14,0,2
1,0,1
10,2,3
3,0,1
2,1,2
1,0,1
1,0,1
4,0,1
5,1,1
26,0,5
3,0,1
10,0,4
78,0,9
2,1,1
8,0,2
3,0,1
10,7,2
3,0,1
22,0,10
8,1,4
3,2,1
2,0,1
1,1,1
4,2,1
1,0,1
2,0,1
3,0,1
1,0,1
3,0,1
18,0,12
1,0,1
19,8,7
2,4,1
19,0,7
2,0,1
9,0,1
2,0,1
4,0,1
1,1,1
1,1,1
15,2,11
3,0,3
3,0,1
9,0,1
6,1,1
2,0,1
3,0,1
3,14,1
5,0,2
3,0,1
75,0,1
2,1,1
2,0,1
5,2,3
16,0,5
1,0,1
1,1,1
2,0,2
4,0,1
6,0,1
1,0,1
1,0,1
3,0,1
17,0,2
2,0,1
10,0,3
19,0,3
6,1,1
1,0,1
5,0,3
8,0,3
8,0,1
2,0,1
2,0,1
5,3,2
13,1,4
3,0,1
1,0,1
1,0,1
3,2,1
2,0,1
1,0,1
14,0,1
3,1,1
2,0,1
10,0,3
5,0,3
4,0,3
