number of unique libraries adopted within repo,number of repos
0,239904
1,4985
2,2446
3,1611
4,1086
5,815
6,631
7,456
8,385
9,326
10,281
11,200
12,188
13,160
14,131
15,120
16,102
17,84
18,74
19,78
20,71
21,63
22,66
23,62
24,41
25,37
26,42
27,34
28,33
29,31
30,34
31,29
32,26
33,31
34,18
35,23
36,23
37,18
38,20
39,9
40,14
41,13
42,14
43,13
44,7
45,15
46,11
47,8
48,14
49,7
50,11
51,13
52,10
53,10
54,5
55,10
56,12
57,5
58,4
59,13
60,9
61,11
62,8
63,1
64,5
65,6
66,4
67,8
68,6
69,5
70,7
71,9
72,8
73,6
74,6
75,4
76,4
77,5
78,3
79,8
80,2
81,4
82,5
83,6
84,2
85,3
86,3
87,5
88,4
89,3
90,4
91,6
92,5
93,7
94,3
95,6
96,3
97,3
98,1
99,5
100,2
101,1
102,1
103,2
104,2
105,2
106,3
107,4
108,1
109,2
110,4
111,1
112,3
113,3
114,5
115,2
116,3
117,1
118,4
119,3
120,3
121,2
122,5
123,4
124,3
125,3
126,2
127,3
128,5
129,6
130,1
131,1
132,1
134,2
135,4
136,2
140,3
142,1
143,2
144,3
146,1
148,1
149,2
150,2
151,1
153,1
155,2
156,1
157,2
159,2
160,2
162,4
164,2
165,1
166,1
167,1
169,1
170,1
171,1
174,2
175,2
177,1
179,1
180,2
183,1
187,2
188,2
189,1
192,1
195,1
199,1
200,3
201,2
202,1
203,1
205,1
206,2
208,1
209,2
211,1
215,1
217,1
218,2
219,1
221,1
222,2
224,1
226,2
229,1
230,1
231,1
234,1
237,1
238,1
239,1
241,1
243,1
245,1
247,1
250,2
255,1
256,1
258,1
261,2
262,1
265,1
267,1
273,1
275,2
280,2
285,2
286,3
287,1
289,1
295,1
297,1
299,1
301,2
302,1
307,1
323,1
331,1
344,1
345,1
353,1
363,1
364,2
365,2
368,1
370,1
372,1
375,2
382,1
385,1
388,1
389,1
405,1
406,1
411,1
414,1
438,1
481,1
483,1
484,1
492,1
493,1
507,1
523,1
525,1
529,1
534,1
538,1
541,1
561,1
573,1
590,1
601,1
608,1
610,1
616,1
641,1
646,1
656,1
657,1
664,1
673,1
676,2
686,1
694,1
709,1
717,1
743,1
753,1
779,1
784,1
810,1
820,1
821,1
830,1
848,1
869,1
878,1
894,1
958,1
962,1
973,1
1023,1
1052,1
1098,1
1126,1
1131,1
1152,1
1489,1
1551,1
1605,1
1722,1
1742,1
1776,1
1815,1
1840,1
1926,1
2021,2
2123,1
2226,1
2323,1
2367,1
2411,1
2692,1
2853,1
3168,1
