number of adoption commits,number of repos
0,141893
1,61772
2,20509
3,10011
4,5615
5,3528
6,2434
7,1724
8,1214
9,892
10,712
11,584
12,449
13,360
14,316
15,285
16,216
17,187
18,189
19,146
20,117
21,123
22,107
23,110
24,86
25,96
26,78
27,72
28,57
29,55
30,43
31,50
32,61
33,40
34,41
35,33
36,50
37,32
38,34
39,23
40,26
41,28
42,20
43,17
44,17
45,35
46,15
47,26
48,25
49,24
50,17
51,19
52,21
53,18
54,17
55,15
56,17
57,16
58,10
59,8
60,17
61,10
62,9
63,11
64,9
65,11
66,15
67,8
68,11
69,8
70,16
71,6
72,9
73,11
74,4
75,8
76,11
77,6
78,10
79,8
80,10
81,4
82,8
83,7
84,6
85,6
86,5
87,9
88,5
89,2
90,4
91,8
92,3
93,7
94,4
95,8
96,4
97,4
98,3
99,4
100,6
101,3
102,2
103,2
104,4
105,6
107,7
108,5
109,2
110,2
111,5
112,3
114,1
115,1
116,4
117,5
118,3
120,2
121,1
122,3
123,2
124,5
125,3
126,4
127,2
128,4
129,2
130,2
131,5
132,3
133,3
134,2
135,4
137,1
138,3
139,3
140,1
141,2
142,3
143,2
144,3
145,2
146,2
147,3
148,2
150,1
151,1
152,2
153,6
154,3
155,3
156,2
157,2
158,4
159,1
162,2
163,1
164,2
166,4
168,3
169,1
170,1
171,2
172,1
174,4
175,1
176,3
177,1
180,5
181,1
182,2
183,3
184,2
185,2
186,1
187,3
188,1
189,1
190,1
191,1
192,1
193,2
194,1
195,2
196,2
198,2
199,1
205,1
206,3
207,1
208,1
212,1
213,4
216,1
217,3
218,1
220,1
221,1
223,3
224,1
225,2
226,2
228,1
229,2
230,1
232,2
233,1
234,2
235,1
237,1
238,1
239,1
241,1
243,2
245,1
246,2
248,1
249,1
250,1
252,2
255,1
257,1
259,4
263,3
264,1
265,1
266,1
267,2
268,1
269,1
270,1
271,1
272,1
273,1
275,1
277,1
278,1
280,1
283,1
285,1
287,1
288,1
291,1
293,1
294,1
297,2
299,1
301,2
304,1
305,1
307,1
309,1
313,1
316,1
317,1
318,1
320,2
321,1
324,1
328,2
329,1
335,1
341,1
342,1
347,1
350,1
353,1
358,4
359,2
361,1
362,1
364,1
368,1
371,1
380,2
394,1
395,1
399,1
400,3
401,1
404,1
410,1
412,1
414,2
415,1
419,1
422,1
433,2
438,1
445,1
449,1
455,1
457,1
462,1
469,1
470,1
472,1
480,2
485,1
486,1
487,1
490,1
495,1
499,1
501,1
509,1
532,1
545,1
573,1
574,1
575,1
581,1
582,1
593,1
598,1
622,1
623,1
624,2
626,1
641,1
651,1
654,1
665,1
672,1
677,1
680,1
695,1
697,1
698,1
720,1
722,1
727,1
733,1
739,1
740,1
742,1
753,1
770,1
776,1
779,1
791,1
824,1
829,1
879,1
885,1
904,1
936,1
943,1
947,2
951,1
980,1
990,1
1017,1
1025,1
1075,1
1095,1
1168,1
1173,1
1181,1
1211,1
1260,1
1311,1
1418,1
1481,1
1541,1
1542,1
1606,1
1643,1
1646,1
1739,1
1817,1
2093,1
2395,1
2547,1
2615,1
2623,1
3085,1
3234,1
3513,1
3866,1
5148,1
