number of commits,number of repos
1,16021
2,20700
3,17889
4,14937
5,12858
6,11097
7,9621
8,8329
9,7469
10,6803
11,6008
12,5453
13,4924
14,4688
15,4287
16,3841
17,3501
18,3298
19,3120
20,3048
21,2741
22,2552
23,2371
24,2354
25,2116
26,1983
27,1961
28,1853
29,1706
30,1702
31,1570
32,1433
33,1361
34,1330
35,1377
36,1238
37,1120
38,1105
39,1131
40,1086
41,1032
42,946
43,911
44,929
45,916
46,827
47,804
48,844
49,767
50,699
51,739
52,669
53,675
54,663
55,610
56,586
57,557
58,576
59,554
60,555
61,511
62,536
63,529
64,473
65,477
66,468
67,450
68,466
69,412
70,472
71,397
72,358
73,384
74,408
75,388
76,383
77,360
78,332
79,347
80,314
81,329
82,302
83,337
84,298
85,301
86,272
87,301
88,255
89,262
90,246
91,287
92,257
93,265
94,278
95,255
96,251
97,231
98,224
99,215
100,223
101,225
102,202
103,202
104,217
105,210
106,188
107,198
108,167
109,216
110,170
111,188
112,200
113,182
114,197
115,186
116,175
117,158
118,178
119,172
120,165
121,167
122,184
123,138
124,143
125,162
126,134
127,167
128,137
129,127
130,137
131,147
132,127
133,135
134,117
135,106
136,119
137,120
138,111
139,131
140,120
141,116
142,134
143,124
144,109
145,103
146,121
147,108
148,92
149,108
150,97
151,106
152,93
153,93
154,92
155,114
156,120
157,83
158,101
159,104
160,103
161,90
162,92
163,89
164,78
165,105
166,99
167,77
168,87
169,86
170,77
171,84
172,84
173,80
174,70
175,68
176,76
177,79
178,93
179,67
180,68
181,84
182,88
183,64
184,78
185,73
186,75
187,71
188,75
189,75
190,76
191,55
192,61
193,71
194,70
195,63
196,74
197,72
198,61
199,74
200,49
201,65
202,63
203,57
204,53
205,55
206,61
207,68
208,66
209,49
210,56
211,53
212,53
213,48
214,55
215,46
216,45
217,52
218,38
219,46
220,46
221,59
222,52
223,47
224,46
225,64
226,48
227,34
228,40
229,55
230,61
231,49
232,38
233,48
234,37
235,51
236,51
237,31
238,40
239,46
240,47
241,32
242,31
243,44
244,57
245,43
246,43
247,42
248,40
249,42
250,35
251,34
252,39
253,35
254,44
255,45
256,43
257,33
258,40
259,27
260,33
261,36
262,40
263,26
264,32
265,24
266,40
267,27
268,33
269,34
270,25
271,35
272,39
273,30
274,36
275,38
276,32
277,29
278,32
279,32
280,26
281,20
282,30
283,30
284,30
285,37
286,28
287,30
288,26
289,29
290,23
291,33
292,31
293,28
294,22
295,30
296,22
297,22
298,23
299,27
300,28
301,23
302,27
303,36
304,28
305,27
306,21
307,25
308,31
309,26
310,35
311,24
312,29
