time(minutes),avg_commits
-52110,1.0
-52105,6.0
-52100,0.0
-52095,0.0
-52090,0.0
-52085,6.0
-52080,0.0
-52075,0.0
-52070,0.0
-52065,6.0
-52060,0.0
-52055,0.0
-52050,0.0
-52045,0.0
-52040,0.0
-52035,6.0
-52030,0.0
-52025,0.0
-52020,0.0
-52015,0.0
-52010,0.0
-52005,0.0
-52000,0.0
-51995,0.0
-51990,0.0
-51985,1.0
-51980,0.0
-51975,0.0
-51970,0.0
-51965,0.0
-51960,0.0
-51955,0.0
-51950,6.0
-51945,0.0
-51940,0.0
-51935,0.0
-51930,0.0
-51925,0.0
-51920,0.0
-51915,0.0
-51910,0.0
-51905,0.0
-51900,0.0
-51895,0.0
-51890,0.0
-51885,0.0
-51880,0.0
-51875,0.0
-51870,0.0
-51865,0.0
-51860,0.0
-51855,0.0
-51850,1.0
-51845,0.0
-51840,0.0
-51835,0.0
-51830,0.0
-51825,6.0
-51820,18.0
-51815,0.0
-51810,0.0
-51805,0.0
-51800,0.0
-51795,0.0
-51790,0.0
-51785,0.0
-51780,0.0
-51775,0.0
-51770,0.0
-51765,0.0
-51760,0.0
-51755,0.0
-51750,0.0
-51745,0.0
-51740,0.0
-51735,0.0
-51730,0.0
-51725,0.0
-51720,0.0
-51715,0.0
-51710,0.0
-51705,0.0
-51700,0.0
-51695,0.0
-51690,0.0
-51685,0.0
-51680,0.0
-51675,0.0
-51670,0.0
-51665,0.0
-51660,0.0
-51655,0.0
-51650,0.0
-51645,0.0
-51640,0.0
-51635,0.0
-51630,0.0
-51625,0.0
-51620,0.0
-51615,0.0
-51610,0.0
-51605,0.0
-51600,0.0
-51595,0.0
-51590,0.0
-51585,0.0
-51580,0.0
-51575,0.0
-51570,0.0
-51565,0.0
-51560,0.0
-51555,0.0
-51550,0.0
-51545,0.0
-51540,0.0
-51535,0.0
-51530,0.0
-51525,0.0
-51520,0.0
-51515,0.0
-51510,0.0
-51505,0.0
-51500,0.0
-51495,0.0
-51490,0.0
-51485,0.0
-51480,0.0
-51475,0.0
-51470,0.0
-51465,6.0
-51460,0.0
-51455,0.0
-51450,0.0
-51445,0.0
-51440,0.0
-51435,1.0
-51430,0.0
-51425,0.0
-51420,0.0
-51415,0.0
-51410,0.0
-51405,0.0
-51400,0.0
-51395,0.0
-51390,0.0
-51385,0.0
-51380,0.0
-51375,0.0
-51370,0.0
-51365,0.0
-51360,0.0
-51355,0.0
-51350,0.0
-51345,0.0
-51340,0.0
-51335,0.0
-51330,6.0
-51325,0.0
-51320,0.0
-51315,0.0
-51310,0.0
-51305,0.0
-51300,0.0
-51295,0.0
