number of commits in session,average adoption commit position (first commit = 1)
1.0,1.0
2.0,1.0634859929247538
3.0,1.1890787518573551
4.0,1.3071364046973803
5.0,1.5726256983240223
6.0,1.5819185059422751
7.0,2.101338432122371
8.0,1.9581673306772909
9.0,2.5379975874547647
10.0,2.0657327586206895
11.0,3.037444933920705
12.0,2.6233933161953726
13.0,2.8875739644970415
14.0,3.1989795918367347
15.0,3.076219512195122
16.0,3.034623217922607
17.0,4.3107344632768365
18.0,3.8703170028818445
19.0,3.047169811320755
20.0,3.6262975778546713
21.0,4.958549222797927
22.0,5.09375
23.0,6.4245283018867925
24.0,4.68796992481203
25.0,5.526315789473684
26.0,5.603305785123967
27.0,5.466666666666667
28.0,4.8654970760233915
29.0,7.764705882352941
30.0,4.762962962962963
31.0,9.222222222222221
32.0,5.3277310924369745
33.0,10.059701492537313
34.0,13.0
35.0,8.175
36.0,5.9125
37.0,11.518518518518519
38.0,9.616666666666667
39.0,11.555555555555555
40.0,7.2926829268292686
41.0,15.285714285714286
42.0,7.54
43.0,18.5
44.0,9.625
45.0,7.9411764705882355
46.0,15.56
47.0,9.153846153846153
48.0,11.956521739130435
49.0,9.76923076923077
50.0,9.823529411764707
51.0,9.933333333333334
52.0,18.04
53.0,14.285714285714286
54.0,16.842105263157894
55.0,16.1
56.0,13.838709677419354
57.0,11.333333333333334
58.0,13.636363636363637
59.0,17.666666666666668
60.0,12.82857142857143
61.0,7.666666666666667
62.0,19.0
63.0,21.8
64.0,10.826086956521738
65.0,22.22222222222222
66.0,11.777777777777779
67.0,23.0
68.0,15.23076923076923
69.0,16.857142857142858
70.0,20.0
71.0,23.714285714285715
72.0,15.64
73.0,28.625
74.0,13.25
75.0,33.92307692307692
76.0,15.5
77.0,31.4
78.0,25.333333333333332
79.0,25.625
80.0,13.619047619047619
81.0,37.9
82.0,32.4
83.0,44.0
84.0,8.266666666666667
85.0,29.0
86.0,33.111111111111114
87.0,34.5
88.0,25.857142857142858
89.0,19.53846153846154
90.0,11.545454545454545
91.0,38.8
92.0,11.428571428571429
93.0,8.5
94.0,27.166666666666668
95.0,18.0
96.0,21.625
97.0,22.8
98.0,30.0
99.0,42.78260869565217
100.0,3.6
101.0,10.333333333333334
102.0,23.2
103.0,5.0
104.0,37.0
105.0,45.5
106.0,49.666666666666664
107.0,51.0
108.0,6.571428571428571
109.0,49.333333333333336
110.0,48.25
111.0,28.8
112.0,19.75
113.0,41.0
114.0,31.77777777777778
116.0,51.5
117.0,10.0
118.0,19.6
119.0,30.333333333333332
120.0,39.083333333333336
121.0,110.0
123.0,49.166666666666664
124.0,67.28571428571429
125.0,87.0
126.0,50.4
128.0,35.625
130.0,56.6
131.0,40.6
132.0,4.0
133.0,45.333333333333336
134.0,28.8
135.0,52.0
136.0,74.2
137.0,54.75
139.0,48.666666666666664
140.0,34.0
141.0,1.0
142.0,98.55555555555556
143.0,1.0
144.0,1.0
145.0,9.0
146.0,85.0
147.0,1.0
148.0,19.5
149.0,127.0
150.0,73.66666666666667
151.0,37.0
152.0,59.5
153.0,58.5
154.0,18.0
155.0,112.4
156.0,44.5
157.0,147.0
158.0,1.0
159.0,29.0
160.0,13.0
161.0,62.42857142857143
164.0,48.333333333333336
165.0,34.666666666666664
166.0,83.5
168.0,42.333333333333336
169.0,46.666666666666664
170.0,1.0
171.0,1.0
176.0,1.0
177.0,165.0
178.0,31.666666666666668
180.0,81.0
181.0,110.5
184.0,54.0
186.0,40.5
187.0,1.0
188.0,1.0
189.0,43.0
190.0,1.0
191.0,94.66666666666667
192.0,1.0
193.0,55.9
195.0,1.0
196.0,3.3333333333333335
197.0,120.0
198.0,65.5
199.0,101.6
200.0,1.0
202.0,74.5
203.0,93.75
204.0,83.0
205.0,49.5
208.0,97.0
209.0,1.0
210.0,1.0
211.0,102.33333333333333
213.0,17.0
214.0,182.0
216.0,77.66666666666667
217.0,1.0
220.0,67.75
221.0,74.5
222.0,107.0
223.0,1.0
224.0,159.66666666666666
225.0,106.82608695652173
226.0,1.0
227.0,51.0
228.0,77.0
232.0,124.0
233.0,119.0
234.0,31.0
235.0,100.0
236.0,1.0
240.0,1.0
241.0,51.0
242.0,156.66666666666666
244.0,155.0
248.0,75.0
249.0,190.75
250.0,125.5
251.0,1.0
252.0,96.66666666666667
253.0,112.0
254.0,1.0
256.0,1.0
260.0,1.0
264.0,1.0
266.0,101.5
269.0,110.0
270.0,98.8
271.0,143.0
272.0,143.83333333333334
273.0,1.0
274.0,163.5
284.0,50.0
288.0,106.0
293.0,138.8
297.0,226.0
298.0,20.0
299.0,166.75
304.0,1.0
312.0,135.0
314.0,105.0
315.0,1.0
320.0,201.0
321.0,28.0
325.0,44.0
326.0,1.0
327.0,288.0
328.0,26.5
333.0,285.7391304347826
334.0,192.75
336.0,94.0
337.0,200.66666666666666
340.0,81.0
341.0,288.0
342.0,40.0
345.0,194.66666666666666
346.0,121.875
347.0,64.0
353.0,330.0
355.0,1.0
357.0,169.0
363.0,1.0
365.0,120.4
367.0,174.71428571428572
368.0,145.0
375.0,128.57142857142858
378.0,356.0
388.0,1.0
394.0,223.25
395.0,246.0
396.0,1.0
398.0,199.0
399.0,159.5
410.0,151.5
412.0,87.0
415.0,185.33333333333334
429.0,1.0
430.0,150.3846153846154
442.0,100.0
443.0,47.125
448.0,1.0
451.0,200.0
462.0,277.0
465.0,1.0
467.0,356.0
469.0,277.0
475.0,1.0
489.0,181.5
503.0,1.0
508.0,209.4
517.0,457.0
527.0,41.0
528.0,204.75
530.0,277.6923076923077
532.0,389.6666666666667
543.0,372.0
552.0,175.0
559.0,411.0
562.0,95.0
571.0,182.3846153846154
582.0,210.0
586.0,260.25
594.0,394.5
601.0,144.5
612.0,142.0
614.0,585.0
615.0,278.2105263157895
630.0,349.3333333333333
645.0,364.0
661.0,603.0
663.0,299.5
667.0,230.0
675.0,495.0
686.0,196.0
687.0,353.1142857142857
697.0,414.5
723.0,252.1764705882353
727.0,39.0
728.0,182.0
749.0,1.0
752.0,24.5
757.0,661.5
761.0,313.0
769.0,332.3333333333333
796.0,1.0
812.0,762.0
820.0,1.0
849.0,813.0
860.0,600.6666666666666
882.0,244.0
901.0,1.0
913.0,606.0
961.0,272.0
971.0,97.0
1067.0,952.5
1194.0,247.0
1205.0,892.0
1289.0,790.6666666666666
1412.0,474.125
1423.0,769.0
1426.0,657.1428571428571
1471.0,792.0
1648.0,1178.6666666666667
1651.0,1155.0
1681.0,116.0
1726.0,479.0
1827.0,1625.25
1843.0,500.6666666666667
1948.0,1470.0
2022.0,1903.0
2117.0,1047.7692307692307
2153.0,815.2
2212.0,953.5833333333334
2329.0,527.0
2429.0,984.6206896551724
2449.0,1620.873015873016
3006.0,977.5
4080.0,3321.5
5300.0,2236.904761904762
8492.0,2972.7916666666665
9351.0,4575.433962264151
