number of unique libraries adopted,number of users
0,100277
1,9154
2,5948
3,4628
4,3727
5,3236
6,2687
7,2237
8,2037
9,1827
10,1609
11,1428
12,1303
13,1148
14,1148
15,1002
16,923
17,817
18,811
19,710
20,617
21,583
22,584
23,525
24,505
25,449
26,438
27,401
28,388
29,346
30,332
31,329
32,334
33,296
34,274
35,257
36,239
37,254
38,223
39,203
40,207
41,222
42,172
43,191
44,197
45,194
46,152
47,154
48,155
49,151
50,151
51,132
52,155
53,138
54,125
55,108
56,127
57,126
58,99
59,109
60,99
61,84
62,84
63,79
64,99
65,81
66,81
67,93
68,64
69,78
70,79
71,69
72,62
73,72
74,65
75,80
76,56
77,52
78,55
79,43
80,50
81,62
82,70
83,54
84,45
85,42
86,52
87,60
88,57
89,36
90,47
91,51
92,32
93,48
94,38
95,44
96,38
97,44
98,36
99,31
100,36
101,34
102,37
103,28
104,41
105,29
106,37
107,35
108,33
109,29
110,30
111,28
112,29
113,34
114,41
115,28
116,31
117,22
118,25
119,31
120,28
121,25
122,28
123,24
124,20
125,17
126,26
127,19
128,22
129,26
130,29
131,12
132,23
133,21
134,14
135,25
136,24
137,15
138,14
139,19
140,15
141,24
142,18
143,18
144,26
145,20
146,14
147,20
148,19
149,19
150,24
151,16
152,15
153,9
154,21
155,18
156,15
157,15
158,7
159,15
160,14
161,10
162,19
163,21
164,17
165,11
166,17
167,6
168,15
169,16
170,7
171,13
172,13
173,11
174,14
175,9
176,11
177,11
178,3
179,5
180,16
181,10
182,7
183,12
184,8
185,6
186,11
187,16
188,11
189,9
190,12
191,11
192,12
193,10
194,4
195,7
196,15
197,7
198,15
199,8
200,9
201,9
202,8
203,13
204,5
205,9
206,6
207,8
208,7
209,9
210,9
211,4
212,5
213,7
214,4
215,1
216,3
217,6
218,6
219,12
220,12
221,4
222,8
223,7
224,3
225,12
226,4
227,2
228,4
229,3
230,12
231,11
232,5
233,3
234,5
235,6
236,4
237,4
238,3
239,7
240,5
241,9
242,7
243,9
244,6
245,2
246,4
247,6
248,6
249,5
250,5
251,4
252,3
253,3
254,7
255,6
256,1
257,5
258,8
259,3
260,4
261,5
262,6
263,4
264,6
265,8
266,5
267,4
268,1
269,4
270,4
271,5
272,4
273,6
274,6
275,2
276,7
277,6
278,5
279,2
280,5
281,4
282,4
283,1
284,2
285,4
286,3
287,2
288,1
289,4
290,1
291,3
292,7
293,6
294,3
295,3
296,1
297,4
298,4
300,3
301,3
302,3
303,5
304,2
305,3
306,5
307,1
308,3
309,1
310,2
311,4
312,3
313,3
314,2
315,9
316,2
317,2
318,6
319,1
320,2
321,6
322,5
323,3
324,2
325,3
326,4
327,3
328,1
329,2
330,3
331,4
332,1
333,2
334,3
335,3
337,2
338,2
339,3
340,3
341,2
342,2
344,2
345,3
346,1
347,2
349,3
350,4
351,3
352,1
354,1
355,2
357,4
358,3
360,1
362,3
363,1
365,4
366,3
367,4
368,3
369,3
370,3
372,3
373,3
374,4
375,4
376,2
377,1
378,2
379,7
380,1
381,3
382,2
386,2
387,1
388,3
389,1
390,1
391,1
392,1
393,3
394,2
395,2
396,2
397,6
398,1
400,1
401,1
402,1
403,1
406,3
407,2
408,3
409,1
410,3
411,2
412,1
413,4
414,3
416,3
417,2
419,2
420,4
421,1
422,3
423,1
425,3
427,1
428,1
430,1
431,2
432,1
433,1
434,3
435,2
436,1
437,2
438,2
439,3
440,2
442,3
443,2
445,1
447,4
449,1
450,2
452,2
453,1
454,2
456,2
458,1
459,1
461,3
463,3
464,1
465,1
467,1
468,2
469,3
470,3
472,2
474,2
475,2
477,2
478,2
479,1
480,4
481,1
482,2
483,3
484,4
486,2
488,1
489,2
490,2
491,2
492,1
494,3
495,3
496,2
497,2
498,2
499,2
500,3
501,3
502,1
506,1
507,4
508,2
509,1
510,3
511,3
513,1
515,2
516,3
518,2
519,1
521,1
522,1
524,1
526,3
527,1
528,2
529,1
530,1
531,1
532,3
533,2
534,3
538,1
540,2
542,3
543,1
544,3
545,2
547,2
549,1
550,2
553,1
554,1
555,1
556,3
557,2
558,1
559,4
560,2
562,3
563,1
564,1
566,1
567,1
568,1
569,1
571,1
574,1
576,2
578,1
579,2
583,2
585,2
587,1
588,3
590,2
591,2
592,1
593,1
594,1
595,3
596,3
598,4
601,1
604,2
606,3
609,1
616,1
617,4
621,2
622,3
625,2
626,1
627,1
628,2
629,1
631,2
632,1
633,1
635,1
637,2
639,1
640,2
641,3
642,1
643,1
644,1
647,1
649,2
650,1
651,1
652,1
655,3
656,1
657,2
658,1
659,1
660,1
663,1
667,1
670,1
672,1
673,1
674,1
675,1
677,1
678,3
679,1
680,2
681,2
682,1
685,1
691,1
702,1
703,1
704,1
706,2
707,1
709,1
710,1
711,1
712,1
713,1
714,1
720,2
721,2
723,2
724,2
725,1
726,1
728,1
729,3
731,2
732,2
735,1
737,1
743,1
745,1
746,2
747,1
748,1
749,1
750,1
751,1
756,1
762,1
763,1
765,3
769,1
775,1
777,1
779,1
781,1
784,1
789,1
791,1
806,1
811,2
814,1
816,1
817,2
819,2
821,1
824,1
831,1
834,1
840,1
849,1
852,1
853,1
855,1
857,1
862,1
863,1
864,1
868,2
869,1
874,1
875,1
876,1
877,1
881,1
886,1
887,1
889,1
893,1
899,1
904,2
908,1
909,1
914,1
917,1
933,1
935,1
943,1
951,1
956,1
965,1
968,1
972,2
974,1
978,1
981,1
989,1
1025,1
1032,1
1048,1
1062,1
1071,1
1084,1
1087,1
1097,1
1114,1
1116,1
1128,1
1146,1
1177,1
1185,2
1194,1
1208,1
1249,1
1254,1
1269,1
1282,1
1294,1
1316,1
1333,1
1339,1
1407,2
1411,1
1418,1
1436,1
1456,1
1458,1
1467,1
1472,1
1487,1
1491,1
1502,1
1530,1
1538,1
1541,1
1573,1
1577,1
1652,1
1653,1
1654,1
1659,1
1677,1
1680,1
1692,1
1715,1
