number of commits,number of users
1,28896
2,15423
3,10621
4,7817
5,5278
6,5320
7,3432
8,3420
9,3011
10,2670
11,2219
12,2425
13,1753
14,1804
15,1699
16,1656
17,1328
18,1405
19,1166
20,1119
21,1092
22,1081
23,904
24,1096
25,861
26,879
27,768
28,865
29,729
30,703
31,657
32,711
33,678
34,641
35,578
36,642
37,573
38,530
39,512
40,558
41,491
42,528
43,508
44,495
45,444
46,453
47,420
48,431
49,425
50,383
51,409
52,398
53,348
54,379
55,384
56,352
57,358
58,353
59,316
60,332
61,321
62,319
63,302
64,284
65,262
66,304
67,261
68,309
69,271
70,286
71,268
72,264
73,225
74,279
75,275
76,256
77,237
78,240
79,220
80,248
81,209
82,203
83,222
84,201
85,228
86,215
87,197
88,218
89,201
90,194
91,209
92,170
93,193
94,187
95,174
96,176
97,173
98,160
99,175
100,197
101,158
102,163
103,154
104,173
105,158
106,152
107,157
108,145
109,157
110,162
111,141
112,142
113,138
114,152
115,131
116,141
117,126
118,145
119,139
120,119
121,134
122,132
123,129
124,138
125,124
126,116
127,94
128,128
129,133
130,117
131,119
132,101
133,105
134,107
135,116
136,86
137,99
138,96
139,89
140,119
141,99
142,110
143,104
144,110
145,97
146,120
147,97
148,109
149,92
150,112
151,89
152,108
153,91
154,111
155,91
156,91
157,74
158,88
159,85
160,81
161,85
162,92
163,105
164,83
165,93
166,79
167,77
168,83
169,100
170,94
171,79
172,79
173,72
174,78
175,73
176,80
177,74
178,74
179,72
180,73
181,64
182,74
183,74
184,65
185,60
186,112
187,71
188,84
189,62
190,61
191,73
192,81
193,57
194,62
195,68
196,66
197,59
198,51
199,71
200,57
201,66
202,58
203,76
204,75
205,70
206,56
207,58
208,59
209,49
210,70
211,67
212,64
213,63
214,56
215,75
216,76
217,56
218,53
219,72
220,54
221,49
222,55
223,58
224,45
225,45
226,52
227,48
228,52
229,59
230,53
231,46
232,40
233,58
234,54
235,62
236,55
237,58
238,52
239,56
240,52
241,40
242,34
243,51
244,50
245,61
246,51
247,57
248,52
249,48
250,46
251,53
252,60
253,48
254,51
255,32
256,47
257,39
258,46
259,40
260,42
261,53
262,35
263,53
264,50
265,34
266,50
267,51
268,46
269,32
270,37
271,53
272,35
273,35
274,36
275,47
276,41
277,34
278,41
279,36
280,35
281,43
282,37
283,38
284,35
285,33
286,31
287,42
288,38
289,31
290,39
291,34
292,36
293,39
294,33
295,37
296,36
297,33
298,37
299,24
300,33
301,30
302,31
303,41
304,36
305,32
306,28
307,35
308,38
309,47
310,24
311,34
312,28
313,34
314,36
315,38
316,32
317,28
318,37
319,30
320,42
321,36
322,27
323,25
324,22
325,22
326,32
327,20
328,20
329,24
330,32
331,29
332,28
333,27
334,36
335,33
336,31
337,18
338,31
339,20
340,23
341,23
342,25
343,26
344,29
345,35
346,30
347,24
348,36
349,25
350,31
351,23
352,31
353,21
354,24
355,39
356,28
357,27
358,31
359,29
360,29
361,27
362,28
363,27
364,28
365,28
366,21
367,32
368,32
369,21
370,33
371,31
372,30
373,20
374,26
375,25
376,21
377,21
378,26
379,45
380,27
381,23
382,17
383,19
384,25
385,21
386,26
387,15
388,19
389,27
390,18
391,21
392,24
393,18
394,20
395,23
396,38
397,19
398,26
399,18
400,20
401,17
402,27
403,22
404,24
405,25
406,14
407,29
408,28
409,20
410,23
411,26
412,11
413,21
414,16
415,22
416,21
417,25
418,19
419,14
420,14
421,13
422,17
423,21
424,23
425,18
426,14
427,17
428,22
429,14
430,14
431,23
432,23
433,20
434,23
435,22
436,22
437,27
438,24
439,28
440,19
441,19
442,19
443,18
444,21
445,17
446,24
447,22
448,14
449,17
450,22
451,20
452,13
453,25
454,22
455,20
456,30
457,28
458,21
459,16
460,17
461,11
462,16
463,19
464,18
465,19
466,10
467,23
468,18
469,17
470,21
471,22
472,15
473,17
474,12
475,14
476,12
477,10
478,12
479,14
480,14
481,17
482,11
483,10
484,20
485,23
486,14
487,13
488,16
489,19
490,15
491,18
492,20
493,18
494,22
495,25
496,11
497,22
498,13
499,13
500,16
501,15
502,17
503,14
504,16
505,17
506,17
507,19
508,18
509,9
510,17
511,14
512,13
513,14
514,11
515,20
516,9
517,14
518,22
519,17
520,16
521,21
522,11
523,14
524,8
525,10
526,15
527,11
528,16
529,13
530,6
531,16
532,17
533,7
534,18
535,12
536,14
537,16
538,12
539,14
540,16
541,14
542,23
543,12
544,14
545,10
546,13
547,7
548,12
549,13
550,12
551,13
552,13
553,17
554,13
555,13
556,12
557,15
558,15
559,17
560,11
561,9
562,11
563,16
564,18
565,7
566,15
567,8
568,10
569,20
570,9
571,10
572,17
573,15
574,11
575,10
576,10
577,11
578,18
579,14
580,11
581,10
582,9
583,12
584,13
585,14
586,8
587,15
588,7
589,11
590,7
591,6
592,18
593,9
594,5
595,9
596,11
597,7
598,9
599,7
600,9
601,13
602,14
603,12
604,6
605,14
606,12
607,14
608,8
609,8
610,11
611,11
612,6
613,12
614,14
615,10
616,5
617,9
618,8
619,14
620,13
621,4
622,14
623,4
624,14
625,13
626,12
627,13
628,16
629,9
630,13
631,7
632,14
633,10
634,8
635,9
636,6
637,9
638,15
639,8
640,7
641,9
642,14
643,12
644,14
645,16
646,14
647,12
648,7
649,8
650,8
651,10
652,5
653,11
654,7
655,8
656,14
657,11
658,8
659,7
660,6
661,6
662,11
663,6
664,15
665,3
666,8
667,10
668,8
669,6
670,6
671,11
672,6
673,14
674,12
675,5
676,13
677,7
678,4
679,7
680,12
681,4
682,10
683,8
684,7
685,10
686,6
687,12
688,10
689,7
690,3
691,6
692,8
693,9
694,14
695,8
696,12
697,14
698,4
699,9
700,11
701,6
702,6
703,6
704,6
705,7
706,8
707,8
708,9
709,10
710,2
711,3
712,8
713,9
714,6
715,6
716,4
717,7
718,11
719,7
720,9
721,5
722,8
723,10
724,13
725,8
726,5
727,15
728,6
729,4
730,6
731,10
732,13
733,11
734,5
735,4
736,3
737,4
738,6
739,8
740,12
741,5
742,5
743,5
744,7
745,9
746,7
747,5
748,14
749,6
750,5
751,5
752,7
753,9
754,12
755,10
756,7
757,9
758,5
759,8
760,10
761,6
762,5
763,7
764,2
765,8
766,9
767,5
768,12
769,7
770,4
771,9
772,7
773,6
774,6
775,9
776,6
777,14
778,6
779,8
780,5
781,8
782,9
783,6
784,9
785,10
786,8
787,8
788,6
789,5
790,5
791,5
792,6
793,3
794,6
795,10
796,4
797,4
798,3
799,8
800,8
801,13
802,9
803,3
804,4
805,5
806,6
807,6
808,5
809,5
810,7
811,3
812,11
813,7
814,5
815,7
816,6
817,4
818,10
819,7
820,2
821,4
822,8
823,5
824,9
825,11
826,7
827,6
828,4
829,3
830,4
831,5
832,2
833,3
834,2
835,4
836,7
837,6
838,3
839,4
840,6
841,6
842,4
843,8
844,4
845,5
846,6
847,3
848,7
849,6
850,6
851,9
852,7
853,3
854,5
855,4
856,7
857,4
858,7
859,5
860,5
861,12
862,7
863,6
864,10
865,2
866,12
867,7
868,4
869,7
870,5
871,1
872,3
873,10
874,3
875,5
876,7
877,7
878,7
879,5
880,4
881,5
882,8
883,10
884,5
885,2
886,5
887,9
888,5
889,3
890,5
891,6
892,4
893,4
894,2
895,8
896,4
897,8
898,4
899,4
