user,number of commits,number of adoption commits,unique libraries adopted,unique committing repos,unique adoption repos
-5,530,4,11,73,4
0,475,0,0,11,0
1,108,0,0,5,0
2,372,2,4,74,2
3,2,0,0,2,0
4,26,0,0,4,0
5,345,3,9,25,3
6,1154,1,6,27,1
7,11,0,0,1,0
8,642,1,7,18,1
9,1,0,0,1,0
10,130,1,2,6,1
11,332,1,1,18,1
12,222,0,0,8,0
13,1,0,0,1,0
14,1016,0,0,45,0
15,12128,8,15,158,8
16,1402,4,4,47,4
17,1087,1,3,83,1
18,18,0,0,9,0
19,723,1,4,686,1
20,29,0,0,1,0
21,231,0,0,21,0
22,1052,12,50,87,6
23,93,0,0,8,0
24,2,0,0,2,0
25,1118,0,0,13,0
26,2095,6,7,58,6
27,12,0,0,12,0
28,540,0,0,62,0
29,5553,2,5,67,2
30,267,0,0,10,0
31,44,0,0,6,0
32,247,3,3,25,3
33,2,0,0,1,0
34,7,0,0,1,0
35,24,0,0,4,0
36,465,0,0,12,0
37,256,0,0,23,0
38,17,0,0,3,0
39,97,0,0,6,0
40,2,0,0,1,0
41,239,3,7,25,3
42,278,1,1,25,1
43,115,0,0,19,0
44,35,1,1,3,1
45,92,1,1,4,1
46,73,1,4,3,1
47,81,0,0,9,0
48,32,0,0,6,0
49,133,1,1,10,1
50,136,0,0,6,0
51,1163,1,1,33,1
52,5,0,0,1,0
53,5816,0,0,28,0
54,112,0,0,8,0
55,543,1,5,55,1
56,738,2,2,28,2
57,3477,8,52,43,4
58,335,0,0,25,0
59,20,0,0,4,0
60,335,1,1,21,1
61,142,0,0,17,0
62,949,3,4,27,2
63,25,0,0,7,0
64,2899,3,14,103,3
65,114,0,0,9,0
66,59,0,0,11,0
67,21,0,0,6,0
68,126,0,0,26,0
69,2422,2,5,53,2
70,2008,0,0,70,0
71,2296,2,2,27,2
72,74762,0,0,556,0
73,2370,0,0,296,0
74,145722,0,0,575,0
75,311,0,0,265,0
76,1607,1,2,317,1
77,646,0,0,280,0
78,52702,1,1,626,1
79,283,0,0,283,0
80,414,0,0,327,0
81,4832,1,4,505,1
82,2145,0,0,523,0
83,4073,1,1,512,1
84,693,0,0,309,0
85,574,0,0,310,0
86,1426,0,0,436,0
87,420,0,0,324,0
88,639,0,0,347,0
89,479,0,0,338,0
90,23751,0,0,500,0
91,364,0,0,364,0
92,3217,0,0,501,0
93,3246,3,4,531,3
94,1463,0,0,421,0
95,2082,0,0,475,0
96,758,1,2,456,1
97,9423,0,0,522,0
98,435,0,0,430,0
99,2612,0,0,459,0
100,311,0,0,306,0
101,2353,0,0,480,0
102,1044,0,0,431,0
103,512,0,0,470,0
104,531,0,0,436,0
105,1618,1,2,515,1
106,2109,0,0,480,0
107,3241,0,0,500,0
108,957,0,0,524,0
109,946,0,0,497,0
110,2224,0,0,480,0
111,3926,3,7,506,3
112,2102,4,4,468,2
113,1293,2,5,467,2
114,2641,1,5,458,1
115,2797,0,0,458,0
116,2535,6,6,530,3
117,1669,0,0,485,0
118,1754,0,0,488,0
119,12506,0,0,481,0
120,490,1,2,456,1
121,2807,0,0,496,0
122,671,0,0,456,0
123,1768,0,0,462,0
124,4618,1,1,508,1
125,472,0,0,450,0
126,1464,0,0,456,0
127,505,0,0,458,0
128,3388,2,8,474,2
129,1313,1,4,534,1
130,593,0,0,509,0
131,1317,0,0,496,0
132,5686,10,13,551,7
133,1325,0,0,509,0
134,626,0,0,24,0
135,1443,1,1,41,1
136,479,0,0,2,0
137,150,0,0,4,0
138,139,0,0,2,0
139,1049,0,0,15,0
140,4,0,0,1,0
141,101,1,3,9,1
142,357,1,10,18,1
143,123,0,0,17,0
144,9,2,2,3,2
145,154,0,0,11,0
146,782,0,0,75,0
147,1167,5,11,98,3
148,2698,0,0,237,0
149,38,4,4,4,1
150,2163,1,1,169,1
151,339,2,3,33,2
152,1756,3,3,78,3
153,293,3,157,45,1
154,63,0,0,39,0
155,3475,3,5,57,2
156,54,0,0,36,0
157,627,0,0,50,0
158,663,0,0,44,0
159,341,0,0,44,0
160,215,0,0,43,0
161,365,0,0,57,0
162,94,0,0,49,0
163,188,0,0,46,0
164,810,0,0,69,0
165,6508,1,8,93,1
166,138,0,0,47,0
167,308,0,0,53,0
168,63,0,0,45,0
169,283,0,0,48,0
170,98,0,0,50,0
