test#,filter_repeat,downsample_ratio,training_start_year,training_start_month,training_end_year,training_end_month,training month count,training days,testing_year,testing_month_first,testing_month_last,testing month count,features,penalty,fit_intercept,loss,shuffle,alpha,num_iter,true_pos,true_neg,false_pos,false_neg,precision,recall,f1-score,AUROC,,
0,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,1,50,0,2912846,0,1946,0,0,0,0.5,,
0,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,1,50,0,2912846,0,1946,0,0,0,0.5,,
0,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,1,50,0,2912846,0,1946,0,0,0,0.5,,
0,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,1,50,0,2912846,0,1946,0,0,0,0.5,,
0,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,1,50,0,2912846,0,1946,0,0,0,0.5,,0.5
1,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,1,50,668,2752909,159937,1278,0.004159273,0.343268243,0.008218959,0.644180387,,
1,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,1,50,686,2754277,158569,1260,0.004307557,0.352517986,0.008511113,0.64904008,,
1,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,1,50,690,2747964,164882,1256,0.004167371,0.354573484,0.008237921,0.648984182,,
1,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,1,50,665,2767504,145342,1281,0.004554576,0.341726619,0.008989341,0.645914857,,
1,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,1,50,653,2769847,142999,1293,0.004545708,0.335560123,0.008969903,0.643233793,,0.64627066
2,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,1,50,0,2912846,0,1946,0,0,0,0.5,,
2,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,1,50,0,2912846,0,1946,0,0,0,0.5,,
2,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,1,50,0,2912846,0,1946,0,0,0,0.5,,
2,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,1,50,0,2912846,0,1946,0,0,0,0.5,,
2,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,elasticnet,FALSE,squared_hinge,TRUE,1,50,0,2912846,0,1946,0,0,0,0.5,,0.5
3,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,0.1,50,0,2912846,0,1946,0,0,0,0.5,,
3,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,0.1,50,672,2905715,7131,1274,0.086120723,0.345323741,0.137860293,0.67143781,,
3,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,0.1,50,0,2912846,0,1946,0,0,0,0.5,,
3,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,0.1,50,559,2908202,4644,1387,0.107438017,0.28725591,0.156385508,0.642830796,,
3,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l1,FALSE,squared_hinge,TRUE,0.1,50,679,2905397,7449,1267,0.083538386,0.348920863,0.134802462,0.673181785,,0.597490078
4,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,0.1,50,670,2763591,149255,1276,0.004468901,0.344295992,0.008823278,0.646527864,,
4,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,0.1,50,690,2763448,149398,1256,0.004597303,0.354573484,0.009076917,0.651642063,,
4,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,0.1,50,680,2762003,150843,1266,0.004487768,0.349434738,0.008861725,0.648824651,,
4,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,0.1,50,673,2765005,147841,1273,0.004531559,0.345837616,0.008945899,0.647541393,,
4,FALSE,2,2017,12,2017,12,1,all,2018,1,1,1,CUPLS,l2,FALSE,squared_hinge,TRUE,0.1,50,666,2770792,142054,1280,0.00466648,0.342240493,0.009207416,0.646736191,,0.648254432
